# provenance: env=venv:/root/venvs/main sha=6417d42 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T08:31:43Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
regime,version,T,I,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,12288,0.009809,7.5,0.7,1.000,0.000e+00,true
decode,v1,1,12288,0.006577,11.2,1.1,1.491,3.984e-03,true
decode,v2,1,12288,0.006535,11.3,1.1,1.501,3.984e-03,true
decode,v3,1,12288,0.006062,12.2,1.2,1.618,3.984e-03,true
decode,pytorch_eager,1,12288,0.015988,4.6,0.5,0.614,0.000e+00,true
decode,torch_compile,1,12288,0.070563,1.0,0.1,0.139,3.984e-03,true
decode,triton,1,12288,0.018312,4.0,0.4,0.536,3.984e-03,true
l2,v0,256,12288,0.012560,1502.7,149.1,1.000,0.000e+00,true
l2,v1,256,12288,0.006776,2785.6,276.3,1.854,4.902e-03,true
l2,v2,256,12288,0.006748,2797.0,277.5,1.861,4.902e-03,true
l2,v3,256,12288,0.006271,3009.8,298.6,2.003,4.902e-03,true
l2,pytorch_eager,256,12288,0.017274,1092.7,108.4,0.727,0.000e+00,true
l2,torch_compile,256,12288,0.066977,281.8,28.0,0.188,4.902e-03,true
l2,triton,256,12288,0.019695,958.4,95.1,0.638,4.902e-03,true
prefill,v0,2048,12288,0.283438,532.7,52.8,1.000,0.000e+00,true
prefill,v1,2048,12288,0.168919,893.9,88.7,1.678,4.348e-03,true
prefill,v2,2048,12288,0.163302,924.6,91.7,1.736,4.348e-03,true
prefill,v3,2048,12288,0.163185,925.3,91.8,1.737,4.348e-03,true
prefill,pytorch_eager,2048,12288,0.255841,590.2,58.6,1.108,0.000e+00,true
prefill,torch_compile,2048,12288,0.162903,926.9,92.0,1.740,4.348e-03,true
prefill,triton,2048,12288,0.162550,928.9,92.2,1.744,4.348e-03,true
hbm,v0,8192,12288,1.116706,540.9,53.7,1.000,0.000e+00,true
hbm,v1,8192,12288,0.665361,907.7,90.1,1.678,3.597e-03,true
hbm,v2,8192,12288,0.657289,918.9,91.2,1.699,3.597e-03,true
hbm,v3,8192,12288,0.651281,927.4,92.0,1.715,3.597e-03,true
hbm,pytorch_eager,8192,12288,1.087181,555.5,55.1,1.027,0.000e+00,true
hbm,torch_compile,8192,12288,0.652374,925.8,91.8,1.712,3.597e-03,true
hbm,triton,8192,12288,0.651537,927.0,92.0,1.714,3.597e-03,true
