# provenance: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:39:05Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# note: EXP-K08 向量化 A/B 的after臂（同机同环境，仅 BF16x8 载体不同）
regime,version,T,I,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,12288,0.011855,6.2,0.6,1.000,0.000e+00,true
decode,v1,1,12288,0.007748,9.5,0.9,1.530,3.984e-03,true
decode,v2,1,12288,0.007604,9.7,1.0,1.559,3.984e-03,true
decode,v3,1,12288,0.007047,10.5,1.0,1.682,3.984e-03,true
decode,pytorch_eager,1,12288,0.018029,4.1,0.4,0.658,0.000e+00,true
decode,torch_compile,1,12288,0.056659,1.3,0.1,0.209,3.984e-03,true
decode,triton,1,12288,0.017076,4.3,0.4,0.694,3.984e-03,true
l2,v0,256,12288,0.012542,1504.9,149.3,1.000,0.000e+00,true
l2,v1,256,12288,0.007820,2413.5,239.4,1.604,4.902e-03,true
l2,v2,256,12288,0.007847,2405.3,238.6,1.598,4.902e-03,true
l2,v3,256,12288,0.007534,2505.4,248.5,1.665,4.902e-03,true
l2,pytorch_eager,256,12288,0.018093,1043.2,103.5,0.693,0.000e+00,true
l2,torch_compile,256,12288,0.054182,348.4,34.6,0.231,4.902e-03,true
l2,triton,256,12288,0.017428,1083.0,107.4,0.720,4.902e-03,true
prefill,v0,2048,12288,0.283628,532.4,52.8,1.000,0.000e+00,true
prefill,v1,2048,12288,0.168965,893.6,88.7,1.679,4.348e-03,true
prefill,v2,2048,12288,0.162647,928.4,92.1,1.744,4.348e-03,true
prefill,v3,2048,12288,0.162365,930.0,92.3,1.747,4.348e-03,true
prefill,pytorch_eager,2048,12288,0.254720,592.8,58.8,1.113,0.000e+00,true
prefill,torch_compile,2048,12288,0.162473,929.4,92.2,1.746,4.348e-03,true
prefill,triton,2048,12288,0.162221,930.8,92.3,1.748,4.348e-03,true
hbm,v0,8192,12288,1.119198,539.7,53.5,1.000,0.000e+00,true
hbm,v1,8192,12288,0.665310,907.8,90.1,1.682,3.597e-03,true
hbm,v2,8192,12288,0.656900,919.4,91.2,1.704,3.597e-03,true
hbm,v3,8192,12288,0.650633,928.3,92.1,1.720,3.597e-03,true
hbm,pytorch_eager,8192,12288,1.087266,555.5,55.1,1.029,0.000e+00,true
hbm,torch_compile,8192,12288,0.652117,926.2,91.9,1.716,3.597e-03,true
hbm,triton,8192,12288,0.650718,928.2,92.1,1.720,3.597e-03,true
