# provenance: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:35:56Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# note: EXP-K08 向量化 A/B 的before臂（同机同环境，仅 BF16x8 载体不同）
regime,version,T,I,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,12288,0.010937,6.7,0.7,1.000,0.000e+00,true
decode,v1,1,12288,0.007706,9.6,0.9,1.419,3.984e-03,true
decode,v2,1,12288,0.007734,9.5,0.9,1.414,3.984e-03,true
decode,v3,1,12288,0.007182,10.3,1.0,1.523,3.984e-03,true
decode,pytorch_eager,1,12288,0.016556,4.5,0.4,0.661,0.000e+00,true
decode,torch_compile,1,12288,0.055603,1.3,0.1,0.197,3.984e-03,true
decode,triton,1,12288,0.018275,4.0,0.4,0.598,3.984e-03,true
l2,v0,256,12288,0.012576,1500.9,148.9,1.000,0.000e+00,true
l2,v1,256,12288,0.007920,2383.2,236.4,1.588,4.902e-03,true
l2,v2,256,12288,0.007934,2378.9,236.0,1.585,4.902e-03,true
l2,v3,256,12288,0.007396,2551.8,253.2,1.700,4.902e-03,true
l2,pytorch_eager,256,12288,0.017618,1071.3,106.3,0.714,0.000e+00,true
l2,torch_compile,256,12288,0.053911,350.1,34.7,0.233,4.902e-03,true
l2,triton,256,12288,0.018756,1006.3,99.8,0.671,4.902e-03,true
prefill,v0,2048,12288,0.283781,532.1,52.8,1.000,0.000e+00,true
prefill,v1,2048,12288,0.168924,893.9,88.7,1.680,4.348e-03,true
prefill,v2,2048,12288,0.163323,924.5,91.7,1.738,4.348e-03,true
prefill,v3,2048,12288,0.162340,930.1,92.3,1.748,4.348e-03,true
prefill,pytorch_eager,2048,12288,0.254367,593.6,58.9,1.116,0.000e+00,true
prefill,torch_compile,2048,12288,0.162371,929.9,92.3,1.748,4.348e-03,true
prefill,triton,2048,12288,0.162212,930.9,92.3,1.749,4.348e-03,true
hbm,v0,8192,12288,1.118344,540.1,53.6,1.000,0.000e+00,true
hbm,v1,8192,12288,0.665327,907.8,90.1,1.681,3.597e-03,true
hbm,v2,8192,12288,0.657408,918.7,91.1,1.701,3.597e-03,true
hbm,v3,8192,12288,0.651247,927.4,92.0,1.717,3.597e-03,true
hbm,pytorch_eager,8192,12288,1.087249,555.5,55.1,1.029,0.000e+00,true
hbm,torch_compile,8192,12288,0.651913,926.5,91.9,1.715,3.597e-03,true
hbm,triton,8192,12288,0.650752,928.1,92.1,1.719,3.597e-03,true
