# derived: n_rounds=3 date=2026-08-26T08:32:16Z
# source: 20260826T083139_activation_stability_r1.csv :: env=venv:/root/venvs/main sha=6417d42 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T08:31:43Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
# source: 20260826T083151_activation_stability_r2.csv :: env=venv:/root/venvs/main sha=6417d42 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T08:31:55Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
# source: 20260826T083204_activation_stability_r3.csv :: env=venv:/root/venvs/main sha=6417d42 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T08:32:08Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
regime,version,correctness_pass,T_mean,T_std,I_mean,I_std,latency_ms_mean,latency_ms_std,eff_bw_GBps_mean,eff_bw_GBps_std,pct_peak_mean,pct_peak_std,speedup_vs_v0_mean,speedup_vs_v0_std,max_rel_err_mean,max_rel_err_std
decode,v0,true,1,0,12288,0,0.009758,9.095e-05,7.53333,0.05774,0.733333,0.05774,1,0,0,0
decode,v1,true,1,0,12288,0,0.00786033,0.002128,9.76667,2.312,0.966667,0.2309,1.298,0.3137,0.003984,0
decode,v2,true,1,0,12288,0,0.006595,5.205e-05,11.1667,0.1155,1.1,0,1.47967,0.0215,0.003984,0
decode,v3,true,1,0,12288,0,0.006077,1.803e-05,12.1333,0.05774,1.2,0,1.60567,0.01429,0.003984,0
decode,pytorch_eager,true,1,0,12288,0,0.016535,0.0004765,4.46667,0.1155,0.433333,0.05774,0.590667,0.02043,0,0
decode,torch_compile,true,1,0,12288,0,0.0699143,0.001173,1.03333,0.05774,0.1,0,0.139667,0.003055,0.003984,0
decode,triton,true,1,0,12288,0,0.0185887,0.0003617,3.96667,0.05774,0.4,0,0.525333,0.01514,0.003984,0
l2,v0,true,256,0,12288,0,0.0125383,2.779e-05,1505.33,3.347,149.333,0.3215,1,0,0,0
l2,v1,true,256,0,12288,0,0.00679367,4.99e-05,2778.4,20.19,275.633,1.986,1.84567,0.0171,0.004902,0
l2,v2,true,256,0,12288,0,0.00678267,5.244e-05,2782.73,21.5,276.067,2.146,1.84867,0.01801,0.004902,0
l2,v3,true,256,0,12288,0,0.006306,4.744e-05,2993.1,22.43,296.933,2.23,1.98867,0.01909,0.004902,0
l2,pytorch_eager,true,256,0,12288,0,0.0176377,0.0004675,1070.67,28.04,106.233,2.779,0.711333,0.01986,0,0
l2,torch_compile,true,256,0,12288,0,0.0668097,0.0003476,282.5,1.48,28.0333,0.1528,0.187667,0.0005774,0.004902,0
l2,triton,true,256,0,12288,0,0.0191843,0.000691,984.733,36.11,97.7,3.593,0.654333,0.02409,0.004902,0
prefill,v0,true,2048,0,12288,0,0.283201,0.0002059,533.167,0.4041,52.8667,0.05774,1,0,0,0
prefill,v1,true,2048,0,12288,0,0.168914,1.323e-05,893.933,0.05774,88.7,0,1.67667,0.001155,0.004348,0
prefill,v2,true,2048,0,12288,0,0.163256,0.0001217,924.9,0.7,91.7333,0.05774,1.735,0.001732,0.004348,0
prefill,v3,true,2048,0,12288,0,0.162941,0.0003458,926.667,1.95,91.9333,0.2309,1.738,0.002646,0.004348,0
prefill,pytorch_eager,true,2048,0,12288,0,0.255244,0.0006094,591.567,1.401,58.7,0.1,1.10967,0.002082,0,0
prefill,torch_compile,true,2048,0,12288,0,0.162459,0.0003848,929.433,2.196,92.2,0.1732,1.74333,0.002887,0.004348,0
prefill,triton,true,2048,0,12288,0,0.162335,0.0001873,930.133,1.079,92.2667,0.05774,1.74467,0.0005774,0.004348,0
hbm,v0,true,8192,0,12288,0,1.11674,4.498e-05,540.867,0.05774,53.7,0,1,0,0,0
hbm,v1,true,8192,0,12288,0,0.665349,2.078e-05,907.733,0.05774,90.1,0,1.67833,0.0005774,0.003597,0
hbm,v2,true,8192,0,12288,0,0.657351,0.0001546,918.833,0.2082,91.1667,0.05774,1.69867,0.0005774,0.003597,0
hbm,v3,true,8192,0,12288,0,0.651076,0.0001781,927.667,0.2309,92,0,1.71567,0.0005774,0.003597,0
hbm,pytorch_eager,true,8192,0,12288,0,1.08716,0.0001211,555.533,0.05774,55.1,0,1.027,0,0,0
hbm,torch_compile,true,8192,0,12288,0,0.652476,0.0001484,925.667,0.2309,91.8,0,1.71167,0.0005774,0.003597,0
hbm,triton,true,8192,0,12288,0,0.650859,0.0005883,927.967,0.8386,92.0667,0.05774,1.716,0.001732,0.003597,0
