# derived: n_rounds=3 date=2026-08-29T03:41:04Z
# source: 20260829T0341_activation_vec-after_r1.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:38:43Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# source: 20260829T0341_activation_vec-after_r2.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:38:54Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# source: 20260829T0341_activation_vec-after_r3.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:39:05Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
regime,version,correctness_pass,T_mean,T_std,I_mean,I_std,latency_ms_mean,latency_ms_std,eff_bw_GBps_mean,eff_bw_GBps_std,pct_peak_mean,pct_peak_std,speedup_vs_v0_mean,speedup_vs_v0_std,max_rel_err_mean,max_rel_err_std
decode,v0,true,1,0,12288,0,0.0112057,0.0005628,6.6,0.3464,0.666667,0.05774,1,0,0,0
decode,v1,true,1,0,12288,0,0.00760467,0.0001262,9.7,0.1732,0.966667,0.05774,1.473,0.04993,0.003984,0
decode,v2,true,1,0,12288,0,0.00757133,2.94e-05,9.73333,0.05774,1,0,1.48,0.06843,0.003984,0
decode,v3,true,1,0,12288,0,0.00722033,0.0002848,10.2333,0.3786,1,0,1.55433,0.1199,0.003984,0
decode,pytorch_eager,true,1,0,12288,0,0.017431,0.0008967,4.23333,0.2309,0.4,0,0.643333,0.02894,0,0
decode,torch_compile,true,1,0,12288,0,0.0573707,0.001586,1.26667,0.05774,0.1,0,0.195333,0.01305,0.003984,0
decode,triton,true,1,0,12288,0,0.017981,0.000812,4.1,0.1732,0.4,0,0.625,0.06001,0.003984,0
l2,v0,true,256,0,12288,0,0.0125593,2.053e-05,1502.8,2.456,149.067,0.2517,1,0,0,0
l2,v1,true,256,0,12288,0,0.007838,1.908e-05,2408.07,5.835,238.9,0.5568,1.60233,0.001528,0.004902,0
l2,v2,true,256,0,12288,0,0.007857,3.509e-05,2402.23,10.64,238.3,1.082,1.59833,0.005508,0.004902,0
l2,v3,true,256,0,12288,0,0.00739433,0.0001214,2553,41.38,253.267,4.143,1.699,0.02972,0.004902,0
l2,pytorch_eager,true,256,0,12288,0,0.018371,0.0002563,1027.57,14.38,101.933,1.429,0.683667,0.009018,0,0
l2,torch_compile,true,256,0,12288,0,0.054829,0.001222,344.367,7.6,34.1667,0.7506,0.229,0.004359,0.004902,0
l2,triton,true,256,0,12288,0,0.0180017,0.001293,1051.97,72.79,104.333,7.207,0.7,0.04729,0.004902,0
prefill,v0,true,2048,0,12288,0,0.283303,0.0002816,533,0.5196,52.8667,0.05774,1,0,0,0
prefill,v1,true,2048,0,12288,0,0.168948,4.309e-05,893.733,0.2309,88.6667,0.05774,1.67667,0.002082,0.004348,0
prefill,v2,true,2048,0,12288,0,0.162587,0.000122,928.7,0.7,92.1333,0.05774,1.74267,0.001528,0.004348,0
prefill,v3,true,2048,0,12288,0,0.16235,0.0001003,930.067,0.6028,92.2667,0.05774,1.745,0.002,0.004348,0
prefill,pytorch_eager,true,2048,0,12288,0,0.254624,8.351e-05,593,0.1732,58.8,0,1.11233,0.0005774,0,0
prefill,torch_compile,true,2048,0,12288,0,0.162471,1.808e-05,929.4,0.1,92.2,0,1.744,0.001732,0.004348,0
prefill,triton,true,2048,0,12288,0,0.162216,1.845e-05,930.8,0.1,92.3333,0.05774,1.74633,0.001528,0.004348,0
hbm,v0,true,8192,0,12288,0,1.11762,0.001372,540.433,0.6351,53.6,0.1,1,0,0,0
hbm,v1,true,8192,0,12288,0,0.665327,1.7e-05,907.8,0,90.1,0,1.67967,0.002082,0.003597,0
hbm,v2,true,8192,0,12288,0,0.657239,0.0006652,918.967,0.9292,91.1667,0.05774,1.70033,0.003512,0.003597,0
hbm,v3,true,8192,0,12288,0,0.650616,0.0001966,928.333,0.2517,92.1,0,1.71767,0.002082,0.003597,0
hbm,pytorch_eager,true,8192,0,12288,0,1.0873,5.947e-05,555.5,0,55.1,0,1.02767,0.001155,0,0
hbm,torch_compile,true,8192,0,12288,0,0.652339,0.0002514,925.867,0.3512,91.8667,0.05774,1.713,0.002646,0.003597,0
hbm,triton,true,8192,0,12288,0,0.650968,0.0002398,927.833,0.3512,92.0333,0.05774,1.71667,0.002887,0.003597,0
