# derived: n_rounds=3 date=2026-08-29T03:41:03Z
# source: 20260829T0341_activation_vec-before_r1.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:35:56Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# source: 20260829T0341_activation_vec-before_r2.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:36:07Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# source: 20260829T0341_activation_vec-before_r3.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:36:17Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
regime,version,correctness_pass,T_mean,T_std,I_mean,I_std,latency_ms_mean,latency_ms_std,eff_bw_GBps_mean,eff_bw_GBps_std,pct_peak_mean,pct_peak_std,speedup_vs_v0_mean,speedup_vs_v0_std,max_rel_err_mean,max_rel_err_std
decode,v0,true,1,0,12288,0,0.0108693,6.391e-05,6.76667,0.05774,0.7,0,1,0,0,0
decode,v1,true,1,0,12288,0,0.007689,3.659e-05,9.6,0,0.933333,0.05774,1.41333,0.01069,0.003984,0
decode,v2,true,1,0,12288,0,0.00763733,9.504e-05,9.66667,0.1528,0.966667,0.05774,1.42333,0.01447,0.003984,0
decode,v3,true,1,0,12288,0,0.00716533,6.658e-05,10.3,0.1,1,0,1.517,0.01778,0.003984,0
decode,pytorch_eager,true,1,0,12288,0,0.016584,0.000147,4.46667,0.05774,0.4,0,0.655667,0.008386,0,0
decode,torch_compile,true,1,0,12288,0,0.056495,0.0009312,1.3,0,0.1,0,0.192667,0.004041,0.003984,0
decode,triton,true,1,0,12288,0,0.0187433,0.0005757,3.93333,0.1155,0.4,0,0.580333,0.0204,0.003984,0
l2,v0,true,256,0,12288,0,0.012571,2.095e-05,1501.47,2.499,148.933,0.2517,1,0,0,0
l2,v1,true,256,0,12288,0,0.00792433,2.676e-05,2381.8,8.091,236.267,0.8083,1.58633,0.002887,0.004902,0
l2,v2,true,256,0,12288,0,0.007856,7.432e-05,2402.63,22.64,238.367,2.259,1.60033,0.01604,0.004902,0
l2,v3,true,256,0,12288,0,0.00740167,0.0001086,2550.3,37.37,253,3.704,1.69867,0.02203,0.004902,0
l2,pytorch_eager,true,256,0,12288,0,0.017408,0.0001819,1084.3,11.26,107.567,1.097,0.722333,0.007371,0,0
l2,torch_compile,true,256,0,12288,0,0.0538983,0.0008751,350.233,5.701,34.7333,0.5508,0.233333,0.003512,0.004902,0
l2,triton,true,256,0,12288,0,0.0184037,0.0006789,1026.5,38.68,101.833,3.873,0.683667,0.02458,0.004902,0
prefill,v0,true,2048,0,12288,0,0.283677,9.296e-05,532.267,0.1528,52.8,0,1,0,0,0
prefill,v1,true,2048,0,12288,0,0.168926,1.808e-05,893.867,0.05774,88.7,0,1.67933,0.0005774,0.004348,0
prefill,v2,true,2048,0,12288,0,0.163255,6.01e-05,924.9,0.3606,91.7667,0.05774,1.738,0,0.004348,0
prefill,v3,true,2048,0,12288,0,0.162427,0.000117,929.633,0.6429,92.2333,0.1155,1.74667,0.001528,0.004348,0
prefill,pytorch_eager,true,2048,0,12288,0,0.254713,0.0004239,592.8,0.9849,58.8,0.1,1.11367,0.002517,0,0
prefill,torch_compile,true,2048,0,12288,0,0.162408,4.095e-05,929.733,0.2082,92.2333,0.05774,1.747,0.001,0.004348,0
prefill,triton,true,2048,0,12288,0,0.162309,0.0001729,930.3,1.039,92.2667,0.05774,1.74733,0.002082,0.004348,0
hbm,v0,true,8192,0,12288,0,1.11751,0.0008103,540.467,0.3512,53.6333,0.05774,1,0,0,0
hbm,v1,true,8192,0,12288,0,0.665356,2.641e-05,907.733,0.05774,90.1,0,1.67967,0.001528,0.003597,0
hbm,v2,true,8192,0,12288,0,0.657277,0.0001839,918.9,0.2646,91.1667,0.05774,1.70033,0.0005774,0.003597,0
hbm,v3,true,8192,0,12288,0,0.651213,3.4e-05,927.467,0.05774,92,0,1.716,0.001,0.003597,0
hbm,pytorch_eager,true,8192,0,12288,0,1.08736,0.0001548,555.467,0.05774,55.1,0,1.028,0.001,0,0
hbm,torch_compile,true,8192,0,12288,0,0.652038,0.0001093,926.3,0.1732,91.9,0,1.714,0.001,0.003597,0
hbm,triton,true,8192,0,12288,0,0.65065,0.0001627,928.267,0.2082,92.1,0,1.71767,0.001155,0.003597,0
