Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
26.2,123357158,846,145812.2,24831.5,992,662063,215816.7,triton_poi_fused_mul_silu_0
24.5,115231962,1522,75710.9,77662.0,38975,80254,3774.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
5.6,26461985,124,213403.1,91486.0,992,672718,274880.1,"v0_mul_kernel(__nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, long long)"
5.5,26092865,128,203850.5,81454.0,1056,659087,269215.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
5.5,26045736,124,210046.3,77166.5,1024,669295,273232.7,"v1_kernel(__nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, long long)"
5.4,25536595,124,205940.3,70702.0,1471,660719,268976.5,"v2_kernel(__nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, long long)"
5.4,25347765,124,204417.5,77630.0,1472,653359,265803.6,"v3_kernel(__nv_bfloat16 *, const __nv_bfloat16 *, int)"
5.4,25294460,124,203987.6,71598.5,1088,654319,265865.7,_silu_and_mul_kernel
3.7,17393271,124,140268.3,50062.5,1024,454516,182523.7,"v0_silu_kernel(__nv_bfloat16 *, const __nv_bfloat16 *, long long)"
3.7,17190177,128,134298.3,39454.5,1312,432469,175801.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::silu_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
2.5,11548278,28,412438.5,170427.5,1120,1310014,542577.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
2.4,11356411,84,135195.4,5648.0,1248,665295,233868.6,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
1.6,7663708,28,273703.9,110941.0,1056,872970,361862.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.9,4321201,28,154328.6,65822.0,3008,481843,198316.2,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float>>, unsigned int, float, (int)4, (int)4>>(T3)"
0.8,3699266,28,132116.6,50511.0,1024,436308,176284.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<c10::BFloat16>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.4,2053263,28,73330.8,12095.5,3488,267961,112798.3,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::func_wrapper_t<c10::BFloat16, at::native::MaxNanFunctor<c10::BFloat16>>, unsigned int, c10::BFloat16, (int)4, (int)4>>(T3)"
0.2,1171425,4,292856.3,112669.0,1696,944391,445422.4,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)2, (int)128, (int)1, (int)16, (int)8>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
