# provenance: env=4090-container sha=33c6fff cmd="./build/reduce_bench (stability r3)" date=2026-08-25T21:40:15Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04
version,cpu_result,gpu_result,diff,latency_ms,speedup,correctness_pass
baseline,1.67772e+07,1.67772e+07,0,146.404724,1.00,true
v0,1.67772e+07,1.67772e+07,0,0.119301,1227.19,true
v1,1.67772e+07,1.67772e+07,0,0.118589,1234.55,true
v2,1.67772e+07,1.67772e+07,0,0.116307,1258.78,true
v3,1.67772e+07,1.67772e+07,0,0.077355,1892.63,true
v4,1.67772e+07,1.67772e+07,0,0.056730,2580.75,true
v5,1.67772e+07,1.67772e+07,0,0.056116,2608.97,true
v6,1.67772e+07,1.67772e+07,0,0.029775,4916.98,true
v7,1.67772e+07,1.67772e+07,0,0.029598,4946.37,true
cuBLAS,1.67772e+07,1.67772e+07,0,0.037243,3931.04,true
CUB,1.67772e+07,1.67772e+07,0,0.019758,7409.74,true
