# provenance: env=4090-container sha=33c6fff cmd="REDUCE_N=268435456 ./build/reduce_bench (HBM-bound, r1)" date=2026-08-25T21:58:54Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04
version,cpu_result,gpu_result,diff,latency_ms,speedup,correctness_pass
baseline,1.67772e+07,1.67772e+07,0,4874.216797,1.00,true
v0,1.67772e+07,2.68435e+08,2.5166e+08,1.756191,2775.45,false
v1,1.67772e+07,2.68435e+08,2.5166e+08,1.758086,2772.46,false
v2,1.67772e+07,2.68435e+08,2.5166e+08,1.737718,2804.95,false
v3,1.67772e+07,2.68435e+08,2.5166e+08,1.451055,3359.08,false
v4,1.67772e+07,2.68435e+08,2.5166e+08,1.450628,3360.07,false
v5,1.67772e+07,2.68435e+08,2.5166e+08,1.451273,3358.58,false
v6,1.67772e+07,2.68435e+08,2.5166e+08,1.134780,4295.30,false
v7,1.67772e+07,2.68435e+08,2.5166e+08,1.134903,4294.83,false
cuBLAS,1.67772e+07,2.68435e+08,2.5166e+08,1.146384,4251.82,false
CUB,1.67772e+07,2.68435e+08,2.5166e+08,1.127451,4323.22,false
