# provenance: env=4090-main-container sha=9596b43 cmd="REDUCE_N=16777216 ./build/reduce_bench (calfix l2 r1)" date=2026-08-29T09:00:10Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04
version,cpu_result,gpu_result,diff,latency_ms,speedup,correctness_pass
baseline,1.67772e+07,1.67772e+07,0,145.910324,1.00,true
v0,1.67772e+07,1.67772e+07,0,0.118372,1232.64,true
v1,1.67772e+07,1.67772e+07,0,0.119581,1220.18,true
v2,1.67772e+07,1.67772e+07,0,0.116072,1257.07,true
v3,1.67772e+07,1.67772e+07,0,0.077293,1887.75,true
v4,1.67772e+07,1.67772e+07,0,0.056673,2574.60,true
v5,1.67772e+07,1.67772e+07,0,0.056266,2593.24,true
v6,1.67772e+07,1.67772e+07,0,0.022554,6469.40,true
v7,1.67772e+07,1.67772e+07,0,0.022460,6496.40,true
cuBLAS,1.67772e+07,1.67772e+07,0,0.037078,3935.21,true
CUB,1.67772e+07,1.67772e+07,0,0.019914,7327.05,true
