# provenance: env=4090-container sha=bfa04ca cmd="fa2_bench" date=2026-08-24T15:44:04Z gpu="NVIDIA GeForce RTX 4090" driver=13.3
version,B,Hq,Hkv,S,D,causal,latency_ms,tflops,max_abs_err_vs_ref,correctness_pass
v0_warp_row,1,32,8,512,128,1,0.4330,5.0,2.4e-04,true
v1_smem_tile,1,32,8,512,128,1,0.4774,4.5,2.4e-04,true
v2_wmma,1,32,8,512,128,1,0.1540,13.9,4.9e-04,true
v3_8warp,1,32,8,512,128,1,0.1155,18.6,4.9e-04,true
v4_overlap,1,32,8,512,128,1,0.1077,19.9,4.9e-04,true
v0_warp_row,1,32,8,1024,128,1,1.6015,5.4,1.2e-04,true
v1_smem_tile,1,32,8,1024,128,1,1.6171,5.3,1.2e-04,true
v2_wmma,1,32,8,1024,128,1,0.4641,18.5,4.9e-04,true
v3_8warp,1,32,8,1024,128,1,0.3465,24.8,4.9e-04,true
v4_overlap,1,32,8,1024,128,1,0.3245,26.5,4.9e-04,true
v0_warp_row,1,32,8,2048,128,1,6.2816,5.5,1.2e-04,true
v1_smem_tile,1,32,8,2048,128,1,6.3333,5.4,1.2e-04,true
v2_wmma,1,32,8,2048,128,1,1.5404,22.3,4.9e-04,true
v3_8warp,1,32,8,2048,128,1,1.1584,29.7,4.9e-04,true
v4_overlap,1,32,8,2048,128,1,1.0866,31.6,4.9e-04,true
v0_warp_row,1,32,8,4096,128,1,27.8198,4.9,2.4e-04,true
v1_smem_tile,1,32,8,4096,128,1,25.1767,5.5,2.4e-04,true
v2_wmma,1,32,8,4096,128,1,5.6551,24.3,4.9e-04,true
v3_8warp,1,32,8,4096,128,1,4.2426,32.4,4.9e-04,true
v4_overlap,1,32,8,4096,128,1,3.9617,34.7,4.9e-04,true
