# provenance: env=4090-container sha=unknown cmd="fa2_bench" date=2026-08-29T19:55:37Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.3
version,B,Hq,Hkv,S,D,causal,latency_ms,tflops,max_abs_err_vs_ref,correctness_pass
v0_warp_row,1,32,8,512,128,1,0.4292,5.0,2.4e-04,true
v1_smem_tile,1,32,8,512,128,1,0.4485,4.8,2.4e-04,true
v2_wmma,1,32,8,512,128,1,0.1531,14.0,4.9e-04,true
v3_8warp,1,32,8,512,128,1,0.1151,18.7,4.9e-04,true
v4_overlap,1,32,8,512,128,1,0.1074,20.0,4.9e-04,true
v5_mmaPTX,1,32,8,512,128,1,0.1084,19.8,4.9e-04,true
v0_warp_row,1,32,8,1024,128,1,1.6082,5.3,1.2e-04,true
v1_smem_tile,1,32,8,1024,128,1,1.6099,5.3,1.2e-04,true
v2_wmma,1,32,8,1024,128,1,0.4576,18.8,4.9e-04,true
v3_8warp,1,32,8,1024,128,1,0.3445,24.9,4.9e-04,true
v4_overlap,1,32,8,1024,128,1,0.3232,26.6,4.9e-04,true
v5_mmaPTX,1,32,8,1024,128,1,0.3234,26.6,4.9e-04,true
v0_warp_row,1,32,8,2048,128,1,6.2346,5.5,1.2e-04,true
v1_smem_tile,1,32,8,2048,128,1,6.3173,5.4,1.2e-04,true
v2_wmma,1,32,8,2048,128,1,1.5423,22.3,4.9e-04,true
v3_8warp,1,32,8,2048,128,1,1.1521,29.8,4.9e-04,true
v4_overlap,1,32,8,2048,128,1,1.0808,31.8,4.9e-04,true
v5_mmaPTX,1,32,8,2048,128,1,1.0815,31.8,4.9e-04,true
v0_warp_row,1,32,8,4096,128,1,27.7130,5.0,2.4e-04,true
v1_smem_tile,1,32,8,4096,128,1,25.1114,5.5,2.4e-04,true
v2_wmma,1,32,8,4096,128,1,5.6343,24.4,4.9e-04,true
v3_8warp,1,32,8,4096,128,1,4.2220,32.6,4.9e-04,true
v4_overlap,1,32,8,4096,128,1,3.9435,34.9,4.9e-04,true
v5_mmaPTX,1,32,8,4096,128,1,3.9341,34.9,4.9e-04,true
