# derived from: project-proof/data/20260824T1543_fa2_proto_r1.csv, project-proof/data/20260824T1543_fa2_proto_r2.csv, project-proof/data/20260824T1544_fa2_proto_r3.csv (3 rounds, mean/std; B=1 Hq=32 Hkv=8 D=128 causal)
version,S,latency_ms_mean,latency_ms_std,tflops_mean,tflops_std
v0_warp_row,512,0.4272,0.0089,5.1,0.12
v1_smem_tile,512,0.4740,0.0081,4.5,0.06
v2_wmma,512,0.1597,0.0102,13.5,0.84
v3_8warp,512,0.1177,0.0037,18.3,0.58
v4_overlap,512,0.1075,0.0003,20.0,0.10
v0_warp_row,1024,1.5914,0.0107,5.4,0.00
v1_smem_tile,1024,1.6109,0.0076,5.3,0.06
v2_wmma,1024,0.4611,0.0035,18.6,0.15
v3_8warp,1024,0.3452,0.0012,24.9,0.10
v4_overlap,1024,0.3230,0.0016,26.6,0.10
v0_warp_row,2048,6.2414,0.0397,5.5,0.00
v1_smem_tile,2048,6.3103,0.0230,5.4,0.06
v2_wmma,2048,1.5371,0.0050,22.3,0.06
v3_8warp,2048,1.1565,0.0033,29.7,0.06
v4_overlap,2048,1.0849,0.0031,31.7,0.12
v0_warp_row,4096,27.7947,0.0466,4.9,0.06
v1_smem_tile,4096,25.1127,0.0710,5.5,0.00
v2_wmma,4096,5.6354,0.0171,24.4,0.06
v3_8warp,4096,4.2288,0.0122,32.5,0.10
v4_overlap,4096,3.9485,0.0115,34.8,0.12
