# derived from: 20260829T195520_fa2_v5_r1.csv, 20260829T195536_fa2_v5_r2.csv, 20260829T195551_fa2_v5_r3.csv (3 rounds, mean/std, by version+S)
version,S,latency_ms_mean,latency_ms_std,tflops_mean,tflops_std
v0_warp_row,512,0.4254,0.0078,5.1,0.12
v0_warp_row,1024,1.5967,0.0119,5.4,0.06
v0_warp_row,2048,6.2270,0.0208,5.5,0.00
v0_warp_row,4096,27.6981,0.0176,5.0,0.00
v1_smem_tile,512,0.4696,0.0182,4.6,0.17
v1_smem_tile,1024,1.6097,0.0088,5.3,0.06
v1_smem_tile,2048,6.3050,0.0133,5.4,0.06
v1_smem_tile,4096,25.1017,0.0822,5.5,0.00
v2_wmma,512,0.1595,0.0105,13.5,0.87
v2_wmma,1024,0.4588,0.0015,18.7,0.06
v2_wmma,2048,1.5389,0.0055,22.3,0.06
v2_wmma,4096,5.6245,0.0169,24.4,0.06
v3_8warp,512,0.1198,0.0078,18.0,1.13
v3_8warp,1024,0.3448,0.0015,24.9,0.10
v3_8warp,2048,1.1539,0.0035,29.8,0.06
v3_8warp,4096,4.2148,0.0129,32.6,0.10
v4_overlap,512,0.1118,0.0073,19.3,1.18
v4_overlap,1024,0.3231,0.0018,26.6,0.15
v4_overlap,2048,1.0827,0.0032,31.7,0.12
v4_overlap,4096,3.9369,0.0119,34.9,0.10
v5_mmaPTX,512,0.1130,0.0075,19.1,1.18
v5_mmaPTX,1024,0.3229,0.0011,26.6,0.10
v5_mmaPTX,2048,1.0829,0.0031,31.7,0.12
v5_mmaPTX,4096,3.9283,0.0115,35.0,0.12
