# provenance: env=venv:/root/venvs/main sha=6417d42 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T08:09:38Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
regime,version,T,H,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,4096,0.010939,3.0,0.3,1.000,0.000e+00,true
decode,v1,1,4096,0.007425,4.4,0.4,1.473,0.000e+00,true
decode,v2,1,4096,0.007370,4.4,0.4,1.484,0.000e+00,true
decode,v3,1,4096,0.007359,4.5,0.4,1.486,0.000e+00,true
decode,v4,1,4096,0.007423,4.4,0.4,1.474,0.000e+00,true
decode,pytorch_eager,1,4096,0.097732,0.3,0.0,0.112,0.000e+00,true
decode,torch_compile,1,4096,0.075932,0.4,0.0,0.144,3.704e-03,true
decode,triton,1,4096,0.038848,0.8,0.1,0.282,7.407e-03,true
decode64,v0,64,4096,0.010894,192.5,19.1,1.000,0.000e+00,true
decode64,v1,64,4096,0.007770,269.9,26.8,1.402,2.793e-03,true
decode64,v2,64,4096,0.007528,278.6,27.6,1.447,2.793e-03,true
decode64,v3,64,4096,0.007577,276.8,27.5,1.438,2.793e-03,true
decode64,v4,64,4096,0.007665,273.6,27.1,1.421,2.793e-03,true
decode64,pytorch_eager,64,4096,0.102749,20.4,2.0,0.106,0.000e+00,true
decode64,torch_compile,64,4096,0.070257,29.8,3.0,0.155,5.587e-03,true
decode64,triton,64,4096,0.036585,57.3,5.7,0.298,5.587e-03,true
prefill,v0,2048,4096,0.053685,1250.1,124.0,1.000,0.000e+00,true
prefill,v1,2048,4096,0.042957,1562.2,155.0,1.250,4.545e-03,true
prefill,v2,2048,4096,0.028658,2341.7,232.3,1.873,4.545e-03,true
prefill,v3,2048,4096,0.022528,2978.9,295.5,2.383,4.545e-03,true
prefill,v4,2048,4096,0.025972,2583.9,256.3,2.067,4.545e-03,true
prefill,pytorch_eager,2048,4096,0.164594,407.7,40.4,0.326,0.000e+00,true
prefill,torch_compile,2048,4096,0.073472,913.4,90.6,0.731,4.545e-03,true
prefill,triton,2048,4096,0.039383,1704.0,169.0,1.363,4.545e-03,true
hbm,v0,32768,4096,1.850409,580.3,57.6,1.000,1.613e-03,true
hbm,v1,32768,4096,1.223967,877.3,87.0,1.512,6.452e-03,true
hbm,v2,32768,4096,1.166971,920.1,91.3,1.586,6.452e-03,true
hbm,v3,32768,4096,1.167135,920.0,91.3,1.585,6.452e-03,true
hbm,v4,32768,4096,1.168855,918.6,91.1,1.583,6.452e-03,true
hbm,pytorch_eager,32768,4096,6.092145,176.3,17.5,0.304,0.000e+00,true
hbm,torch_compile,32768,4096,1.170637,917.2,91.0,1.581,6.452e-03,true
hbm,triton,32768,4096,1.164575,922.0,91.5,1.589,6.452e-03,true
