# provenance: env=venv:/usr/local/miniconda3/envs/py312 sha=f95a0a8 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-28T20:07:04Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# note: 本轮源码含未提交改动(BF16x8 加 float4 union),provenance 的 sha 指 HEAD 不含该改动;对应提交见 EXP-K08
regime,version,T,H,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,4096,0.011473,2.9,0.3,1.000,0.000e+00,true
decode,v1,1,4096,0.008287,4.0,0.4,1.384,0.000e+00,true
decode,v2,1,4096,0.008250,4.0,0.4,1.391,0.000e+00,true
decode,v3,1,4096,0.008324,3.9,0.4,1.378,0.000e+00,true
decode,v4,1,4096,0.008569,3.8,0.4,1.339,0.000e+00,true
decode,pytorch_eager,1,4096,0.101295,0.3,0.0,0.113,0.000e+00,true
decode,torch_compile,1,4096,0.069003,0.5,0.0,0.166,3.704e-03,true
decode,triton,1,4096,0.037594,0.9,0.1,0.305,7.407e-03,true
decode64,v0,64,4096,0.011709,179.1,17.8,1.000,0.000e+00,true
decode64,v1,64,4096,0.008488,247.1,24.5,1.379,2.793e-03,true
decode64,v2,64,4096,0.008516,246.3,24.4,1.375,2.793e-03,true
decode64,v3,64,4096,0.008570,244.7,24.3,1.366,2.793e-03,true
decode64,v4,64,4096,0.008552,245.2,24.3,1.369,2.793e-03,true
decode64,pytorch_eager,64,4096,0.102527,20.5,2.0,0.114,0.000e+00,true
decode64,torch_compile,64,4096,0.057424,36.5,3.6,0.204,5.587e-03,true
decode64,triton,64,4096,0.037296,56.2,5.6,0.314,5.587e-03,true
prefill,v0,2048,4096,0.053596,1252.1,124.2,1.000,0.000e+00,true
prefill,v1,2048,4096,0.042854,1566.0,155.4,1.251,4.545e-03,true
prefill,v2,2048,4096,0.028570,2349.0,233.0,1.876,4.545e-03,true
prefill,v3,2048,4096,0.018538,3620.1,359.1,2.891,4.545e-03,true
prefill,v4,2048,4096,0.018289,3669.4,364.0,2.931,4.545e-03,true
prefill,pytorch_eager,2048,4096,0.164062,409.0,40.6,0.327,0.000e+00,true
prefill,torch_compile,2048,4096,0.057869,1159.7,115.0,0.926,4.545e-03,true
prefill,triton,2048,4096,0.037441,1792.4,177.8,1.431,4.545e-03,true
hbm,v0,32768,4096,1.852948,579.5,57.5,1.000,1.613e-03,true
hbm,v1,32768,4096,1.232507,871.2,86.4,1.503,6.452e-03,true
hbm,v2,32768,4096,1.170739,917.1,91.0,1.583,6.452e-03,true
hbm,v3,32768,4096,1.165375,921.4,91.4,1.590,6.452e-03,true
hbm,v4,32768,4096,1.166151,920.8,91.3,1.589,6.452e-03,true
hbm,pytorch_eager,32768,4096,6.095933,176.1,17.5,0.304,0.000e+00,true
hbm,torch_compile,32768,4096,1.167505,919.7,91.2,1.587,6.452e-03,true
hbm,triton,32768,4096,1.164266,922.2,91.5,1.592,6.452e-03,true
