# provenance: env=venv:/usr/local/miniconda3/envs/py312 sha=f95a0a8 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:03:05Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# note: 对照臂——用 git HEAD 的 fused_norm_v3/v4.cu 在同一环境重建后测得
regime,version,T,H,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,4096,0.011609,2.8,0.3,1.000,0.000e+00,true
decode,v1,1,4096,0.008174,4.0,0.4,1.420,0.000e+00,true
decode,v2,1,4096,0.008175,4.0,0.4,1.420,0.000e+00,true
decode,v3,1,4096,0.008182,4.0,0.4,1.419,0.000e+00,true
decode,v4,1,4096,0.008222,4.0,0.4,1.412,0.000e+00,true
decode,pytorch_eager,1,4096,0.100216,0.3,0.0,0.116,0.000e+00,true
decode,torch_compile,1,4096,0.059852,0.5,0.1,0.194,3.704e-03,true
decode,triton,1,4096,0.037959,0.9,0.1,0.306,7.407e-03,true
decode64,v0,64,4096,0.011663,179.8,17.8,1.000,0.000e+00,true
decode64,v1,64,4096,0.008395,249.8,24.8,1.389,2.793e-03,true
decode64,v2,64,4096,0.012263,171.0,17.0,0.951,2.793e-03,true
decode64,v3,64,4096,0.008422,249.0,24.7,1.385,2.793e-03,true
decode64,v4,64,4096,0.008443,248.4,24.6,1.381,2.793e-03,true
decode64,pytorch_eager,64,4096,0.104877,20.0,2.0,0.111,0.000e+00,true
decode64,torch_compile,64,4096,0.057351,36.6,3.6,0.203,5.587e-03,true
decode64,triton,64,4096,0.037851,55.4,5.5,0.308,5.587e-03,true
prefill,v0,2048,4096,0.053685,1250.1,124.0,1.000,0.000e+00,true
prefill,v1,2048,4096,0.042967,1561.9,154.9,1.249,4.545e-03,true
prefill,v2,2048,4096,0.028675,2340.3,232.2,1.872,4.545e-03,true
prefill,v3,2048,4096,0.022504,2982.1,295.8,2.386,4.545e-03,true
prefill,v4,2048,4096,0.025952,2585.9,256.5,2.069,4.545e-03,true
prefill,pytorch_eager,2048,4096,0.164724,407.4,40.4,0.326,0.000e+00,true
prefill,torch_compile,2048,4096,0.056450,1188.8,117.9,0.951,4.545e-03,true
prefill,triton,2048,4096,0.038455,1745.1,173.1,1.396,4.545e-03,true
hbm,v0,32768,4096,1.853850,579.2,57.5,1.000,1.613e-03,true
hbm,v1,32768,4096,1.233388,870.6,86.4,1.503,6.452e-03,true
hbm,v2,32768,4096,1.171333,916.7,90.9,1.583,6.452e-03,true
hbm,v3,32768,4096,1.165763,921.1,91.4,1.590,6.452e-03,true
hbm,v4,32768,4096,1.166582,920.4,91.3,1.589,6.452e-03,true
hbm,pytorch_eager,32768,4096,6.095258,176.2,17.5,0.304,0.000e+00,true
hbm,torch_compile,32768,4096,1.169142,918.4,91.1,1.586,6.452e-03,true
hbm,triton,32768,4096,1.164124,922.4,91.5,1.592,6.452e-03,true
