# derived: n_rounds=3 date=2026-08-26T08:10:00Z
# source: 20260826T080922_fused-norm_stability_r1.csv :: env=venv:/root/venvs/main sha=6417d42 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T08:09:26Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
# source: 20260826T080934_fused-norm_stability_r2.csv :: env=venv:/root/venvs/main sha=6417d42 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T08:09:38Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
# source: 20260826T080947_fused-norm_stability_r3.csv :: env=venv:/root/venvs/main sha=6417d42 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T08:09:51Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
regime,version,correctness_pass,T_mean,T_std,H_mean,H_std,latency_ms_mean,latency_ms_std,eff_bw_GBps_mean,eff_bw_GBps_std,pct_peak_mean,pct_peak_std,speedup_vs_v0_mean,speedup_vs_v0_std,max_rel_err_mean,max_rel_err_std
decode,v0,true,1,0,4096,0,0.010672,0.0002498,3.06667,0.05774,0.3,0,1,0,0,0
decode,v1,true,1,0,4096,0,0.00741433,3.814e-05,4.4,0,0.4,0,1.43933,0.02967,0,0
decode,v2,true,1,0,4096,0,0.007357,0.0001041,4.43333,0.05774,0.4,0,1.45067,0.0297,0,0
decode,v3,true,1,0,4096,0,0.007404,0.0001506,4.43333,0.1155,0.4,0,1.44133,0.04149,0,0
decode,v4,true,1,0,4096,0,0.007403,4.451e-05,4.43333,0.05774,0.4,0,1.44167,0.0347,0,0
decode,pytorch_eager,true,1,0,4096,0,0.0961283,0.001819,0.3,0,0,0,0.111,0.002646,0,0
decode,torch_compile,true,1,0,4096,0,0.0763487,0.0005823,0.4,0,0,0,0.14,0.004,0.003704,0
decode,triton,true,1,0,4096,0,0.0382713,0.0005,0.866667,0.05774,0.1,0,0.279,0.003606,0.007407,0
decode64,v0,true,64,0,4096,0,0.010712,0.0001578,195.8,2.862,19.4333,0.2887,1,0,0,0
decode64,v1,true,64,0,4096,0,0.00766833,0.0001025,273.5,3.651,27.1333,0.3512,1.397,0.01136,0.002793,0
decode64,v2,true,64,0,4096,0,0.00751233,7.868e-05,279.2,2.946,27.6667,0.3055,1.426,0.0239,0.002793,0
decode64,v3,true,64,0,4096,0,0.00752467,4.858e-05,278.7,1.769,27.6667,0.1528,1.42367,0.0132,0.002793,0
decode64,v4,true,64,0,4096,0,0.00755767,0.000109,277.533,4.002,27.5,0.4,1.41733,0.01193,0.002793,0
decode64,pytorch_eager,true,64,0,4096,0,0.10249,0.004403,20.4667,0.9018,2,0.1,0.104667,0.004163,0,0
decode64,torch_compile,true,64,0,4096,0,0.0714563,0.001286,29.3333,0.5033,2.93333,0.05774,0.15,0.004583,0.005587,0
decode64,triton,true,64,0,4096,0,0.0371747,0.0005273,56.4333,0.7767,5.6,0.1,0.288333,0.008386,0.005587,0
prefill,v0,true,2048,0,4096,0,0.0536827,6.807e-06,1250.13,0.1528,124,0,1,0,0,0
prefill,v1,true,2048,0,4096,0,0.0429593,4.041e-06,1562.13,0.1155,155,0,1.24967,0.0005774,0.004545,0
prefill,v2,true,2048,0,4096,0,0.0286597,8.622e-06,2341.57,0.7095,232.3,0.1,1.873,0,0.004545,0
prefill,v3,true,2048,0,4096,0,0.022513,2.022e-05,2980.87,2.665,295.7,0.2646,2.38433,0.002309,0.004545,0
prefill,v4,true,2048,0,4096,0,0.0259697,4.041e-06,2584.13,0.4041,256.333,0.05774,2.06733,0.0005774,0.004545,0
prefill,pytorch_eager,true,2048,0,4096,0,0.164185,0.0006628,408.767,1.677,40.5333,0.1528,0.327,0.001732,0,0
prefill,torch_compile,true,2048,0,4096,0,0.071844,0.001716,934.467,22.4,92.7,2.207,0.747333,0.01762,0.004545,0
prefill,triton,true,2048,0,4096,0,0.0389553,0.0006911,1723.07,30.88,170.933,3.092,1.37833,0.02485,0.004545,0
hbm,v0,true,32768,0,4096,0,1.84665,0.003273,581.467,1.021,57.7,0.1,1,0,0.001613,0
hbm,v1,true,32768,0,4096,0,1.22394,0.0003688,877.3,0.3,87.0333,0.05774,1.50867,0.002887,0.006452,0
hbm,v2,true,32768,0,4096,0,1.16694,5.889e-05,920.133,0.05774,91.3,0,1.58267,0.002887,0.006452,0
hbm,v3,true,32768,0,4096,0,1.1667,0.0008546,920.333,0.6658,91.3333,0.05774,1.58267,0.002082,0.006452,0
hbm,v4,true,32768,0,4096,0,1.16871,0.000169,918.733,0.1528,91.1333,0.05774,1.58,0.002646,0.006452,0
hbm,pytorch_eager,true,32768,0,4096,0,6.09255,0.0004095,176.233,0.05774,17.5,0,0.303333,0.0005774,0,0
hbm,torch_compile,true,32768,0,4096,0,1.17045,0.0001667,917.367,0.1528,91,0,1.578,0.002646,0.006452,0
hbm,triton,true,32768,0,4096,0,1.1644,0.0001591,922.133,0.1155,91.5,0,1.586,0.002646,0.006452,0
