# derived: n_rounds=3 date=2026-08-29T03:04:40Z
# source: 20260829T0304_fused-norm_vec-after_r1.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=f95a0a8 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-28T20:06:53Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# source: 20260829T0304_fused-norm_vec-after_r2.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=f95a0a8 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-28T20:07:04Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# source: 20260829T0304_fused-norm_vec-after_r3.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=f95a0a8 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-28T20:07:15Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
regime,version,correctness_pass,T_mean,T_std,H_mean,H_std,latency_ms_mean,latency_ms_std,eff_bw_GBps_mean,eff_bw_GBps_std,pct_peak_mean,pct_peak_std,speedup_vs_v0_mean,speedup_vs_v0_std,max_rel_err_mean,max_rel_err_std
decode,v0,true,1,0,4096,0,0.0115137,6.957e-05,2.86667,0.05774,0.3,0,1,0,0,0
decode,v1,true,1,0,4096,0,0.00828833,2.603e-05,3.96667,0.05774,0.4,0,1.389,0.005,0,0
decode,v2,true,1,0,4096,0,0.00826467,1.501e-05,4,0,0.4,0,1.39333,0.005859,0,0
decode,v3,true,1,0,4096,0,0.008314,4.484e-05,3.93333,0.05774,0.4,0,1.38467,0.005774,0,0
decode,v4,true,1,0,4096,0,0.00839333,0.0001554,3.9,0.1,0.4,0,1.37233,0.02894,0,0
decode,pytorch_eager,true,1,0,4096,0,0.100234,0.0009907,0.3,0,0,0,0.115,0.001732,0,0
decode,torch_compile,true,1,0,4096,0,0.0628607,0.00534,0.533333,0.05774,0.0666667,0.05774,0.183667,0.0155,0.003704,0
decode,triton,true,1,0,4096,0,0.0391237,0.001622,0.833333,0.05774,0.1,0,0.294667,0.0105,0.007407,0
decode64,v0,true,64,0,4096,0,0.0117097,0.000107,179.1,1.6,17.7667,0.1528,1,0,0,0
decode64,v1,true,64,0,4096,0,0.008479,5.604e-05,247.367,1.617,24.5333,0.1528,1.381,0.02207,0.002793,0
decode64,v2,true,64,0,4096,0,0.00846333,8.523e-05,247.833,2.485,24.5667,0.2887,1.38367,0.007572,0.002793,0
decode64,v3,true,64,0,4096,0,0.00849033,6.995e-05,247,2.022,24.5333,0.2082,1.379,0.01836,0.002793,0
decode64,v4,true,64,0,4096,0,0.00990333,0.002467,219.733,47.88,21.7667,4.738,1.22833,0.2763,0.002793,0
decode64,pytorch_eager,true,64,0,4096,0,0.104627,0.00471,20.1,0.8718,2,0.1,0.112,0.006245,0,0
decode64,torch_compile,true,64,0,4096,0,0.057883,0.001418,36.2667,0.8737,3.6,0.1,0.202333,0.006658,0.005587,0
decode64,triton,true,64,0,4096,0,0.0371913,0.0002848,56.4,0.4359,5.6,0,0.315,0.005568,0.005587,0
prefill,v0,true,2048,0,4096,0,0.053604,9.425e-05,1251.93,2.155,124.2,0.2,1,0,0,0
prefill,v1,true,2048,0,4096,0,0.0428633,9.933e-05,1565.67,3.612,155.333,0.4041,1.25067,0.0005774,0.004545,0
prefill,v2,true,2048,0,4096,0,0.0285913,7.53e-05,2347.2,6.199,232.867,0.611,1.875,0.001732,0.004545,0
prefill,v3,true,2048,0,4096,0,0.0185413,3.213e-05,3619.43,6.326,359.067,0.6506,2.891,0,0.004545,0
prefill,v4,true,2048,0,4096,0,0.018291,1.709e-05,3668.97,3.47,363.967,0.3512,2.93067,0.002517,0.004545,0
prefill,pytorch_eager,true,2048,0,4096,0,0.163868,0.0004807,409.5,1.229,40.6333,0.1528,0.327333,0.0005774,0,0
prefill,torch_compile,true,2048,0,4096,0,0.0595613,0.001961,1127.53,36.74,111.833,3.612,0.900333,0.02829,0.004545,0
prefill,triton,true,2048,0,4096,0,0.038408,0.0008932,1747.9,40.92,173.4,4.06,1.396,0.03318,0.004545,0
hbm,v0,true,32768,0,4096,0,1.85317,0.0001894,579.433,0.05774,57.5,0,1,0,0.001613,0
hbm,v1,true,32768,0,4096,0,1.23235,0.0001536,871.3,0.1,86.4,0,1.50367,0.0005774,0.006452,0
hbm,v2,true,32768,0,4096,0,1.17084,0.0001168,917.067,0.05774,91,0,1.583,0,0.006452,0
hbm,v3,true,32768,0,4096,0,1.16546,9.329e-05,921.3,0.1,91.4,0,1.59,0,0.006452,0
hbm,v4,true,32768,0,4096,0,1.16612,0.0003597,920.8,0.3,91.3333,0.05774,1.58933,0.0005774,0.006452,0
hbm,pytorch_eager,true,32768,0,4096,0,6.09359,0.002034,176.167,0.05774,17.5,0,0.304,0,0,0
hbm,torch_compile,true,32768,0,4096,0,1.16694,0.0005159,920.133,0.4041,91.2667,0.05774,1.588,0.001,0.006452,0
hbm,triton,true,32768,0,4096,0,1.16412,0.0001531,922.367,0.1528,91.5,0,1.592,0,0.006452,0
