# derived: n_rounds=3 date=2026-08-29T03:04:40Z
# source: 20260829T0304_fused-norm_vec-before_r1.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=f95a0a8 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:02:54Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# source: 20260829T0304_fused-norm_vec-before_r2.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=f95a0a8 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:03:05Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# source: 20260829T0304_fused-norm_vec-before_r3.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=f95a0a8 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:03:16Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
regime,version,correctness_pass,T_mean,T_std,H_mean,H_std,latency_ms_mean,latency_ms_std,eff_bw_GBps_mean,eff_bw_GBps_std,pct_peak_mean,pct_peak_std,speedup_vs_v0_mean,speedup_vs_v0_std,max_rel_err_mean,max_rel_err_std
decode,v0,true,1,0,4096,0,0.011574,8.977e-05,2.83333,0.05774,0.3,0,1,0,0,0
decode,v1,true,1,0,4096,0,0.00830433,0.0001175,3.93333,0.05774,0.4,0,1.39367,0.02757,0,0
decode,v2,true,1,0,4096,0,0.008309,0.0001178,3.93333,0.05774,0.4,0,1.393,0.02427,0,0
decode,v3,true,1,0,4096,0,0.00830533,0.0001261,3.93333,0.05774,0.4,0,1.39367,0.02196,0,0
decode,v4,true,1,0,4096,0,0.008329,0.0001065,3.93333,0.05774,0.4,0,1.38967,0.0194,0,0
decode,pytorch_eager,true,1,0,4096,0,0.0980767,0.002713,0.3,0,0,0,0.118333,0.002517,0,0
decode,torch_compile,true,1,0,4096,0,0.0596707,0.0017,0.533333,0.05774,0.1,0,0.194,0.004,0.003704,0
decode,triton,true,1,0,4096,0,0.038076,0.002107,0.866667,0.05774,0.1,0,0.304333,0.01457,0.007407,0
decode64,v0,true,64,0,4096,0,0.0117393,0.0001635,178.667,2.501,17.7,0.2646,1,0,0,0
decode64,v1,true,64,0,4096,0,0.00981367,0.002396,221.4,47.38,21.9667,4.735,1.237,0.2504,0.002793,0
decode64,v2,true,64,0,4096,0,0.0109993,0.002149,196.3,43.22,19.4667,4.272,1.101,0.2589,0.002793,0
decode64,v3,true,64,0,4096,0,0.00856467,0.0001269,244.9,3.651,24.3,0.3606,1.371,0.02512,0.002793,0
decode64,v4,true,64,0,4096,0,0.008549,0.0001343,245.367,3.803,24.3333,0.3786,1.373,0.007211,0.002793,0
decode64,pytorch_eager,true,64,0,4096,0,0.104069,0.004725,20.2,0.9165,2,0.1,0.112667,0.003786,0,0
decode64,torch_compile,true,64,0,4096,0,0.0572903,0.001241,36.6,0.8,3.63333,0.05774,0.205,0.002646,0.005587,0
decode64,triton,true,64,0,4096,0,0.037163,0.001693,56.5,2.629,5.6,0.2646,0.316333,0.01193,0.005587,0
prefill,v0,true,2048,0,4096,0,0.0536337,9.77e-05,1251.27,2.285,124.133,0.2309,1,0,0,0
prefill,v1,true,2048,0,4096,0,0.042909,0.0001191,1564,4.349,155.167,0.4619,1.24967,0.001155,0.004545,0
prefill,v2,true,2048,0,4096,0,0.0286253,8.344e-05,2344.4,6.843,232.6,0.6928,1.87367,0.002082,0.004545,0
prefill,v3,true,2048,0,4096,0,0.0224917,2.765e-05,2983.77,3.694,296,0.3464,2.38467,0.001528,0.004545,0
prefill,v4,true,2048,0,4096,0,0.0259423,2.214e-05,2586.8,2.193,256.633,0.2309,2.06767,0.002309,0.004545,0
prefill,pytorch_eager,true,2048,0,4096,0,0.164197,0.0007832,408.733,1.973,40.5667,0.2082,0.326667,0.001155,0,0
prefill,torch_compile,true,2048,0,4096,0,0.057575,0.002412,1166.93,47.81,115.733,4.737,0.932667,0.03707,0.004545,0
prefill,triton,true,2048,0,4096,0,0.0380123,0.0003972,1765.57,18.39,175.167,1.858,1.411,0.01308,0.004545,0
hbm,v0,true,32768,0,4096,0,1.88248,0.02886,570.467,8.75,56.6,0.9,1,0,0.001613,0
hbm,v1,true,32768,0,4096,0,1.24546,0.02109,862.3,14.46,85.5667,1.443,1.51133,0.01274,0.006452,0
hbm,v2,true,32768,0,4096,0,1.17314,0.003592,915.3,2.778,90.8,0.2646,1.60467,0.0206,0.006452,0
hbm,v3,true,32768,0,4096,0,1.16588,0.0001126,921,0.1,91.4,0,1.61467,0.02501,0.006452,0
hbm,v4,true,32768,0,4096,0,1.16678,0.000379,920.233,0.2887,91.3,0,1.61333,0.0245,0.006452,0
hbm,pytorch_eager,true,32768,0,4096,0,6.09404,0.001383,176.2,0,17.5,0,0.309,0.005,0,0
hbm,torch_compile,true,32768,0,4096,0,1.16772,0.001236,919.533,0.9815,91.2333,0.1155,1.61233,0.02601,0.006452,0
hbm,triton,true,32768,0,4096,0,1.16432,0.0005107,922.2,0.4359,91.4667,0.05774,1.61667,0.0245,0.006452,0
