# provenance: derived from softmax/project-proof/data/*_softmax_stability_r{1,2,3}.csv (scripts/stability_rebench.sh, 2026-08-24)
key,latency_ms_mean,latency_ms_std,rel_std_pct
cublas|1024|1024,0.00948167,0.000132,1.40
cublas_mis|1024|1500,0.0127817,7.38e-05,0.58
v0|1024|1024,0.00955233,4.06e-05,0.42
v1|1024|1024,0.00948867,8.94e-05,0.94
v2|1024|1024,0.00940167,9.63e-05,1.02
v3|1024|1024,0.008936,8.15e-05,0.91
v4|1024|1024,0.007691,0.000153,1.99
v4.2|1024|1024,0.0101487,0.000256,2.52
v4.3_mis|1024|1500,0.010131,9.64e-05,0.95
v4.4_mis|1024|1500,0.0109387,9.68e-05,0.88
v4_mis|1024|1500,0.00998867,4.85e-05,0.49
