# provenance: derived from cuda-reduce/project-proof/data/*_stability_r{1,2,3}.csv (RTX 4090, scripts/stability_rebench.sh)
key,latency_ms_mean,latency_ms_std,rel_std_pct
CUB|1.67772e+07|1.67772e+07,0.0198283,9.78e-05,0.49
baseline|1.67772e+07|1.67772e+07,146.407,0.0071,0.00
cuBLAS|1.67772e+07|1.67772e+07,0.0371813,7.92e-05,0.21
v0|1.67772e+07|1.67772e+07,0.119288,0.000699,0.59
v1|1.67772e+07|1.67772e+07,0.118774,0.0003,0.25
v2|1.67772e+07|1.67772e+07,0.116321,0.000386,0.33
v3|1.67772e+07|1.67772e+07,0.0779753,0.000938,1.20
v4|1.67772e+07|1.67772e+07,0.056712,0.000109,0.19
v5|1.67772e+07|1.67772e+07,0.0562887,0.000203,0.36
v6|1.67772e+07|1.67772e+07,0.0297807,7.87e-05,0.26
v7|1.67772e+07|1.67772e+07,0.02974,0.000124,0.42
