# provenance: derived from cuda-reduce/project-proof/data/*_l2_N16777216_calfix_r{1,2,3}.csv (RTX 4090 主力机, sha=9596b43, 计时口径修正后; 67.1 MB < 72 MB L2)
version,latency_ms_mean,latency_ms_std,rel_std_pct
CUB,0.019808,0.000136,0.68
baseline,145.909785,0.013922,0.01
cuBLAS,0.037186,0.000310,0.83
v0,0.118790,0.000412,0.35
v1,0.118542,0.000856,0.72
v2,0.116098,0.000244,0.21
v3,0.077535,0.000448,0.58
v4,0.056509,0.000279,0.49
v5,0.056283,0.000016,0.03
v6,0.022505,0.000035,0.15
v7,0.022535,0.000065,0.29
