# provenance: derived from cuda-reduce/project-proof/data/*_hbmbound_N268435456_r{1,2,3}.csv (RTX 4090, 1.07 GB 数组 >> 72 MB L2; HBM 理论峰值 1008.1 GB/s)
version,latency_ms_mean,latency_ms_std,eff_bw_GBs,pct_of_hbm_peak
CUB,1.12730,0.00013,952.5,94.5%
baseline,1624.73893,2814.13038,0.7,0.1%
cuBLAS,1.14722,0.00103,935.9,92.8%
v0,1.80668,0.09977,594.3,59.0%
v1,1.77723,0.03765,604.2,59.9%
v2,1.75526,0.03845,611.7,60.7%
v3,1.47737,0.04465,726.8,72.1%
v4,1.45171,0.00117,739.6,73.4%
v5,1.47726,0.04407,726.8,72.1%
v6,1.16091,0.04530,924.9,91.7%
v7,1.13483,0.00023,946.2,93.9%
