# provenance: derived from cuda-reduce/project-proof/data/*_hbm_N268435456_calfix_r{1,2,3}.csv (RTX 4090 主力机, sha=9596b43, 计时口径修正后; 1.07 GB 数组 >> 72 MB L2; HBM 理论峰值 1008.1 GB/s; baseline 跳过——单轮 1.6 s x100 迭代过慢且端到端口径不取自该区间)
version,latency_ms_mean,latency_ms_std,eff_bw_GBs,pct_of_hbm_peak
CUB,1.12789,0.00041,952.0,94.4%
cuBLAS,1.14611,0.00025,936.9,92.9%
v0,1.75412,0.00100,612.1,60.7%
v1,1.75073,0.00229,613.3,60.8%
v2,1.80943,0.00664,593.4,58.9%
v3,1.45216,0.00175,739.4,73.3%
v4,1.45991,0.00623,735.5,73.0%
v5,1.53558,0.04628,699.2,69.4%
v6,1.12639,0.00011,953.3,94.6%
v7,1.12659,0.00033,953.1,94.5%
