# provenance: env=venv:/root/venvs/main sha=6417d42 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T08:27:24Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
regime,version,T,HQ,HK,D,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,32,8,128,0.017995,1.1,0.1,1.000,0.000e+00,true
decode,v1,1,32,8,128,0.010314,2.0,0.2,1.745,0.000e+00,true
decode,v2,1,32,8,128,0.007157,2.9,0.3,2.514,0.000e+00,true
decode,v3,1,32,8,128,0.007080,2.9,0.3,2.542,0.000e+00,true
decode,v4,1,32,8,128,0.006966,2.9,0.3,2.583,0.000e+00,true
decode,pytorch_eager,1,32,8,128,0.135991,0.2,0.0,0.132,0.000e+00,true
decode,torch_compile,1,32,8,128,0.084856,0.2,0.0,0.212,0.000e+00,true
decode,triton,1,32,8,128,0.038427,0.5,0.1,0.468,0.000e+00,true
decode64,v0,64,32,8,128,0.020384,64.3,6.4,1.000,7.092e-03,true
decode64,v1,64,32,8,128,0.010685,122.7,12.2,1.908,7.092e-03,true
decode64,v2,64,32,8,128,0.007608,172.3,17.1,2.679,7.092e-03,true
decode64,v3,64,32,8,128,0.007396,177.2,17.6,2.756,7.092e-03,true
decode64,v4,64,32,8,128,0.007341,178.5,17.7,2.777,7.092e-03,true
decode64,pytorch_eager,64,32,8,128,0.149059,8.8,0.9,0.137,0.000e+00,true
decode64,torch_compile,64,32,8,128,0.078273,16.7,1.7,0.260,7.092e-03,true
decode64,triton,64,32,8,128,0.038371,34.2,3.4,0.531,7.092e-03,true
prefill,v0,2048,32,8,128,0.057166,733.7,72.8,1.000,6.173e-03,true
prefill,v1,2048,32,8,128,0.020634,2032.8,201.7,2.771,6.173e-03,true
prefill,v2,2048,32,8,128,0.019951,2102.3,208.6,2.865,6.173e-03,true
prefill,v3,2048,32,8,128,0.014162,2961.7,293.8,4.037,6.173e-03,true
prefill,v4,2048,32,8,128,0.018183,2306.7,228.8,3.144,6.173e-03,true
prefill,pytorch_eager,2048,32,8,128,0.178268,235.3,23.3,0.321,0.000e+00,true
prefill,torch_compile,2048,32,8,128,0.079729,526.1,52.2,0.717,6.173e-03,true
prefill,triton,2048,32,8,128,0.036328,1154.6,114.5,1.574,6.173e-03,true
hbm,v0,32768,32,8,128,1.555968,431.3,42.8,1.000,5.618e-03,true
hbm,v1,32768,32,8,128,0.864358,776.4,77.0,1.800,5.618e-03,true
hbm,v2,32768,32,8,128,0.873984,767.9,76.2,1.780,5.618e-03,true
hbm,v3,32768,32,8,128,0.757487,885.9,87.9,2.054,5.618e-03,true
hbm,v4,32768,32,8,128,0.741376,905.2,89.8,2.099,5.618e-03,true
hbm,pytorch_eager,32768,32,8,128,3.785967,177.3,17.6,0.411,0.000e+00,true
hbm,torch_compile,32768,32,8,128,0.765133,877.1,87.0,2.034,5.618e-03,true
hbm,triton,32768,32,8,128,0.747042,898.3,89.1,2.083,5.618e-03,true
