# provenance: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:38:21Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# note: EXP-K08 向量化 A/B 的after臂（同机同环境，仅 BF16x8 载体不同）
regime,version,T,HQ,HK,D,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,32,8,128,0.019572,1.0,0.1,1.000,0.000e+00,true
decode,v1,1,32,8,128,0.011292,1.8,0.2,1.733,0.000e+00,true
decode,v2,1,32,8,128,0.008047,2.5,0.3,2.432,0.000e+00,true
decode,v3,1,32,8,128,0.008011,2.6,0.3,2.443,0.000e+00,true
decode,v4,1,32,8,128,0.007898,2.6,0.3,2.478,0.000e+00,true
decode,pytorch_eager,1,32,8,128,0.134782,0.2,0.0,0.145,0.000e+00,true
decode,torch_compile,1,32,8,128,0.078679,0.3,0.0,0.249,0.000e+00,true
decode,triton,1,32,8,128,0.041139,0.5,0.0,0.476,0.000e+00,true
decode64,v0,64,32,8,128,0.019650,66.7,6.6,1.000,7.092e-03,true
decode64,v1,64,32,8,128,0.011506,113.9,11.3,1.708,7.092e-03,true
decode64,v2,64,32,8,128,0.008216,159.5,15.8,2.392,7.092e-03,true
decode64,v3,64,32,8,128,0.008219,159.5,15.8,2.391,7.092e-03,true
decode64,v4,64,32,8,128,0.008027,163.3,16.2,2.448,7.092e-03,true
decode64,pytorch_eager,64,32,8,128,0.141062,9.3,0.9,0.139,0.000e+00,true
decode64,torch_compile,64,32,8,128,0.072918,18.0,1.8,0.269,7.092e-03,true
decode64,triton,64,32,8,128,0.035349,37.1,3.7,0.556,7.092e-03,true
prefill,v0,2048,32,8,128,0.057272,732.3,72.7,1.000,6.173e-03,true
prefill,v1,2048,32,8,128,0.020716,2024.7,200.9,2.765,6.173e-03,true
prefill,v2,2048,32,8,128,0.020036,2093.4,207.7,2.858,6.173e-03,true
prefill,v3,2048,32,8,128,0.012315,3405.8,337.9,4.650,6.173e-03,true
prefill,v4,2048,32,8,128,0.012244,3425.7,339.9,4.678,6.173e-03,true
prefill,pytorch_eager,2048,32,8,128,0.147896,283.6,28.1,0.387,0.000e+00,true
prefill,torch_compile,2048,32,8,128,0.075199,557.8,55.3,0.762,6.173e-03,true
prefill,triton,2048,32,8,128,0.038588,1087.0,107.8,1.484,6.173e-03,true
hbm,v0,32768,32,8,128,1.560303,430.1,42.7,1.000,5.618e-03,true
hbm,v1,32768,32,8,128,0.855620,784.3,77.8,1.824,5.618e-03,true
hbm,v2,32768,32,8,128,0.865792,775.1,76.9,1.802,5.618e-03,true
hbm,v3,32768,32,8,128,0.755951,887.7,88.1,2.064,5.618e-03,true
hbm,v4,32768,32,8,128,0.740181,906.7,89.9,2.108,5.618e-03,true
hbm,pytorch_eager,32768,32,8,128,3.773611,177.8,17.6,0.413,0.000e+00,true
hbm,torch_compile,32768,32,8,128,0.764860,877.4,87.0,2.040,5.618e-03,true
hbm,triton,32768,32,8,128,0.747076,898.3,89.1,2.089,5.618e-03,true
