# provenance: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:35:45Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# note: EXP-K08 向量化 A/B 的before臂（同机同环境，仅 BF16x8 载体不同）
regime,version,T,HQ,HK,D,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,32,8,128,0.020109,1.0,0.1,1.000,0.000e+00,true
decode,v1,1,32,8,128,0.011507,1.8,0.2,1.747,0.000e+00,true
decode,v2,1,32,8,128,0.008151,2.5,0.2,2.467,0.000e+00,true
decode,v3,1,32,8,128,0.008147,2.5,0.2,2.468,0.000e+00,true
decode,v4,1,32,8,128,0.008153,2.5,0.2,2.466,0.000e+00,true
decode,pytorch_eager,1,32,8,128,0.134977,0.2,0.0,0.149,0.000e+00,true
decode,torch_compile,1,32,8,128,0.084657,0.2,0.0,0.238,0.000e+00,true
decode,triton,1,32,8,128,0.037611,0.5,0.1,0.535,0.000e+00,true
decode64,v0,64,32,8,128,0.020182,64.9,6.4,1.000,7.092e-03,true
decode64,v1,64,32,8,128,0.011574,113.2,11.2,1.744,7.092e-03,true
decode64,v2,64,32,8,128,0.008242,159.0,15.8,2.449,7.092e-03,true
decode64,v3,64,32,8,128,0.008259,158.7,15.7,2.444,7.092e-03,true
decode64,v4,64,32,8,128,0.008148,160.9,16.0,2.477,7.092e-03,true
decode64,pytorch_eager,64,32,8,128,0.146876,8.9,0.9,0.137,0.000e+00,true
decode64,torch_compile,64,32,8,128,0.073850,17.7,1.8,0.273,7.092e-03,true
decode64,triton,64,32,8,128,0.037516,34.9,3.5,0.538,7.092e-03,true
prefill,v0,2048,32,8,128,0.056672,740.1,73.4,1.000,6.173e-03,true
prefill,v1,2048,32,8,128,0.020569,2039.2,202.3,2.755,6.173e-03,true
prefill,v2,2048,32,8,128,0.019924,2105.2,208.8,2.844,6.173e-03,true
prefill,v3,2048,32,8,128,0.014152,2963.8,294.0,4.005,6.173e-03,true
prefill,v4,2048,32,8,128,0.018186,2306.3,228.8,3.116,6.173e-03,true
prefill,pytorch_eager,2048,32,8,128,0.149207,281.1,27.9,0.380,0.000e+00,true
prefill,torch_compile,2048,32,8,128,0.073479,570.8,56.6,0.771,6.173e-03,true
prefill,triton,2048,32,8,128,0.036123,1161.1,115.2,1.569,6.173e-03,true
hbm,v0,32768,32,8,128,1.562010,429.6,42.6,1.000,5.618e-03,true
hbm,v1,32768,32,8,128,0.853504,786.3,78.0,1.830,5.618e-03,true
hbm,v2,32768,32,8,128,0.863980,776.7,77.1,1.808,5.618e-03,true
hbm,v3,32768,32,8,128,0.755333,888.5,88.1,2.068,5.618e-03,true
hbm,v4,32768,32,8,128,0.739806,907.1,90.0,2.111,5.618e-03,true
hbm,pytorch_eager,32768,32,8,128,3.775181,177.8,17.6,0.414,0.000e+00,true
hbm,torch_compile,32768,32,8,128,0.764894,877.4,87.0,2.042,5.618e-03,true
hbm,triton,32768,32,8,128,0.746769,898.7,89.2,2.092,5.618e-03,true
