# derived: n_rounds=3 date=2026-08-26T08:27:33Z
# source: 20260826T082655_rope_stability_r1.csv :: env=venv:/root/venvs/main sha=6417d42 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T08:26:59Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
# source: 20260826T082708_rope_stability_r2.csv :: env=venv:/root/venvs/main sha=6417d42 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T08:27:12Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
# source: 20260826T082720_rope_stability_r3.csv :: env=venv:/root/venvs/main sha=6417d42 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T08:27:24Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
regime,version,correctness_pass,T_mean,T_std,HQ_mean,HQ_std,HK_mean,HK_std,D_mean,D_std,latency_ms_mean,latency_ms_std,eff_bw_GBps_mean,eff_bw_GBps_std,pct_peak_mean,pct_peak_std,speedup_vs_v0_mean,speedup_vs_v0_std,max_rel_err_mean,max_rel_err_std
decode,v0,true,1,0,32,0,8,0,128,0,0.018119,0.0001091,1.1,0,0.1,0,1,0,0,0
decode,v1,true,1,0,32,0,8,0,128,0,0.0102973,1.604e-05,2,0,0.2,0,1.75967,0.01305,0,0
decode,v2,true,1,0,32,0,8,0,128,0,0.00720967,8.188e-05,2.86667,0.05774,0.3,0,2.51333,0.02101,0,0
decode,v3,true,1,0,32,0,8,0,128,0,0.00716,6.928e-05,2.83333,0.05774,0.3,0,2.53067,0.01026,0,0
decode,v4,true,1,0,32,0,8,0,128,0,0.00695467,4.508e-05,2.93333,0.05774,0.3,0,2.60533,0.02747,0,0
decode,pytorch_eager,true,1,0,32,0,8,0,128,0,0.137966,0.002132,0.133333,0.05774,0,0,0.131333,0.001155,0,0
decode,torch_compile,true,1,0,32,0,8,0,128,0,0.085186,0.0004143,0.2,0,0,0,0.212667,0.001155,0,0
decode,triton,true,1,0,32,0,8,0,128,0,0.0386133,0.001529,0.533333,0.05774,0.1,0,0.469333,0.01804,0,0
decode64,v0,true,64,0,32,0,8,0,128,0,0.019675,0.0009543,66.7333,3.308,6.63333,0.3215,1,0,0.007092,0
decode64,v1,true,64,0,32,0,8,0,128,0,0.010544,0.0001242,124.333,1.436,12.3333,0.1155,1.866,0.08246,0.007092,0
decode64,v2,true,64,0,32,0,8,0,128,0,0.00746467,0.000125,175.6,2.879,17.4333,0.2887,2.63533,0.1111,0.007092,0
decode64,v3,true,64,0,32,0,8,0,128,0,0.00740167,5.173e-05,177.1,1.253,17.5667,0.1528,2.65767,0.1172,0.007092,0
decode64,v4,true,64,0,32,0,8,0,128,0,0.0072,0.0001222,182.067,3.092,18.0667,0.3215,2.732,0.1078,0.007092,0
decode64,pytorch_eager,true,64,0,32,0,8,0,128,0,0.149866,0.005226,8.73333,0.3055,0.866667,0.05774,0.131667,0.01012,0,0
decode64,torch_compile,true,64,0,32,0,8,0,128,0,0.0783437,0.0004126,16.7,0.1,1.7,0,0.251,0.01308,0.007092,0
decode64,triton,true,64,0,32,0,8,0,128,0,0.037328,0.0009042,35.1667,0.8386,3.46667,0.05774,0.527,0.0203,0.007092,0
prefill,v0,true,2048,0,32,0,8,0,128,0,0.0571937,6.881e-05,733.333,0.9074,72.7667,0.05774,1,0,0.006173,0
prefill,v1,true,2048,0,32,0,8,0,128,0,0.0206597,3.937e-05,2030.2,3.913,201.433,0.3786,2.76833,0.002517,0.006173,0
prefill,v2,true,2048,0,32,0,8,0,128,0,0.0199897,6.959e-05,2098.27,7.335,208.167,0.7506,2.86133,0.006351,0.006173,0
prefill,v3,true,2048,0,32,0,8,0,128,0,0.014161,8.544e-06,2961.93,1.762,293.833,0.1528,4.039,0.002646,0.006173,0
prefill,v4,true,2048,0,32,0,8,0,128,0,0.0181887,1.626e-05,2306,2.042,228.733,0.2082,3.14467,0.001155,0.006173,0
prefill,pytorch_eager,true,2048,0,32,0,8,0,128,0,0.159134,0.01741,265.633,28.11,26.3333,2.793,0.362333,0.03844,0,0
prefill,torch_compile,true,2048,0,32,0,8,0,128,0,0.0794977,0.0003541,527.6,2.343,52.3333,0.2309,0.719333,0.002517,0.006173,0
prefill,triton,true,2048,0,32,0,8,0,128,0,0.0365047,0.0005786,1149.2,18.11,114,1.803,1.567,0.02621,0.006173,0
hbm,v0,true,32768,0,32,0,8,0,128,0,1.5574,0.003344,430.9,0.9644,42.7333,0.1155,1,0,0.005618,0
hbm,v1,true,32768,0,32,0,8,0,128,0,0.861537,0.003188,778.967,2.892,77.2667,0.3055,1.80767,0.006658,0.005618,0
hbm,v2,true,32768,0,32,0,8,0,128,0,0.870866,0.004142,770.633,3.667,76.4667,0.3786,1.788,0.00755,0.005618,0
hbm,v3,true,32768,0,32,0,8,0,128,0,0.756554,0.001151,887,1.345,88,0.1,2.05867,0.004509,0.005618,0
hbm,v4,true,32768,0,32,0,8,0,128,0,0.740818,0.0005181,905.867,0.611,89.8667,0.05774,2.10233,0.004933,0.005618,0
hbm,pytorch_eager,true,32768,0,32,0,8,0,128,0,3.77978,0.005371,177.567,0.2309,17.6,0,0.412,0.001,0,0
hbm,torch_compile,true,32768,0,32,0,8,0,128,0,0.765019,0.0001044,877.2,0.1,87,0,2.036,0.004359,0.005618,0
hbm,triton,true,32768,0,32,0,8,0,128,0,0.746916,0.0001105,898.467,0.1528,89.1,0,2.085,0.004359,0.005618,0
