# derived: n_rounds=3 date=2026-08-29T03:41:03Z
# source: 20260829T0341_rope_vec-after_r1.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:38:10Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# source: 20260829T0341_rope_vec-after_r2.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:38:21Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# source: 20260829T0341_rope_vec-after_r3.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:38:32Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
regime,version,correctness_pass,T_mean,T_std,HQ_mean,HQ_std,HK_mean,HK_std,D_mean,D_std,latency_ms_mean,latency_ms_std,eff_bw_GBps_mean,eff_bw_GBps_std,pct_peak_mean,pct_peak_std,speedup_vs_v0_mean,speedup_vs_v0_std,max_rel_err_mean,max_rel_err_std
decode,v0,true,1,0,32,0,8,0,128,0,0.0195273,0.0001734,1.03333,0.05774,0.1,0,1,0,0,0
decode,v1,true,1,0,32,0,8,0,128,0,0.0112247,6.906e-05,1.8,0,0.2,0,1.73933,0.01097,0,0
decode,v2,true,1,0,32,0,8,0,128,0,0.00805633,7.742e-05,2.53333,0.05774,0.266667,0.05774,2.424,0.007211,0,0
decode,v3,true,1,0,32,0,8,0,128,0,0.00801633,0.0001021,2.56667,0.05774,0.3,0,2.43633,0.01155,0,0
decode,v4,true,1,0,32,0,8,0,128,0,0.00791967,3.329e-05,2.6,0,0.3,0,2.46567,0.01644,0,0
decode,pytorch_eager,true,1,0,32,0,8,0,128,0,0.136738,0.002387,0.166667,0.05774,0,0,0.142667,0.002082,0,0
decode,torch_compile,true,1,0,32,0,8,0,128,0,0.0815543,0.002649,0.233333,0.05774,0,0,0.24,0.00781,0,0
decode,triton,true,1,0,32,0,8,0,128,0,0.0384707,0.002317,0.533333,0.05774,0.0666667,0.05774,0.508667,0.02836,0,0
decode64,v0,true,64,0,32,0,8,0,128,0,0.020083,0.0007717,65.3333,2.454,6.46667,0.2309,1,0,0.007092,0
decode64,v1,true,64,0,32,0,8,0,128,0,0.0114727,6.658e-05,114.233,0.6658,11.3333,0.05774,1.75033,0.0616,0.007092,0
decode64,v2,true,64,0,32,0,8,0,128,0,0.00825367,9.245e-05,158.8,1.758,15.7667,0.1528,2.43267,0.06615,0.007092,0
decode64,v3,true,64,0,32,0,8,0,128,0,0.00838633,0.0002881,156.4,5.283,15.5,0.5196,2.39467,0.01002,0.007092,0
decode64,v4,true,64,0,32,0,8,0,128,0,0.00809933,7.514e-05,161.833,1.501,16.0667,0.1528,2.47933,0.07508,0.007092,0
decode64,pytorch_eager,true,64,0,32,0,8,0,128,0,0.143638,0.002488,9.13333,0.1528,0.9,0,0.139667,0.004041,0,0
decode64,torch_compile,true,64,0,32,0,8,0,128,0,0.0723927,0.0006745,18.1,0.1732,1.8,0,0.277333,0.01041,0.007092,0
decode64,triton,true,64,0,32,0,8,0,128,0,0.036305,0.0009452,36.1333,0.9504,3.6,0.1,0.553,0.01179,0.007092,0
prefill,v0,true,2048,0,32,0,8,0,128,0,0.0572677,1.115e-05,732.4,0.1732,72.6667,0.05774,1,0,0.006173,0
prefill,v1,true,2048,0,32,0,8,0,128,0,0.0207067,1.286e-05,2025.6,1.308,200.967,0.1155,2.76567,0.001155,0.006173,0
prefill,v2,true,2048,0,32,0,8,0,128,0,0.0200487,1.858e-05,2092.07,1.973,207.533,0.2082,2.85633,0.002082,0.006173,0
