# derived: n_rounds=3 date=2026-08-29T03:41:03Z
# source: 20260829T0341_rope_vec-before_r1.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:35:22Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# source: 20260829T0341_rope_vec-before_r2.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:35:33Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# source: 20260829T0341_rope_vec-before_r3.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:35:45Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
regime,version,correctness_pass,T_mean,T_std,HQ_mean,HQ_std,HK_mean,HK_std,D_mean,D_std,latency_ms_mean,latency_ms_std,eff_bw_GBps_mean,eff_bw_GBps_std,pct_peak_mean,pct_peak_std,speedup_vs_v0_mean,speedup_vs_v0_std,max_rel_err_mean,max_rel_err_std
decode,v0,true,1,0,32,0,8,0,128,0,0.0201163,0.0002211,1,0,0.1,0,1,0,0,0
decode,v1,true,1,0,32,0,8,0,128,0,0.011424,8.35e-05,1.8,0,0.2,0,1.76067,0.01721,0,0
decode,v2,true,1,0,32,0,8,0,128,0,0.00816433,3.876e-05,2.5,0,0.2,0,2.464,0.01572,0,0
decode,v3,true,1,0,32,0,8,0,128,0,0.00815433,2.774e-05,2.5,0,0.2,0,2.46667,0.01904,0,0
decode,v4,true,1,0,32,0,8,0,128,0,0.008121,2.835e-05,2.5,0,0.266667,0.05774,2.477,0.02722,0,0
decode,pytorch_eager,true,1,0,32,0,8,0,128,0,0.13783,0.004966,0.166667,0.05774,0,0,0.146,0.003606,0,0
decode,torch_compile,true,1,0,32,0,8,0,128,0,0.0844583,0.0003616,0.2,0,0,0,0.238333,0.001528,0,0
decode,triton,true,1,0,32,0,8,0,128,0,0.037724,0.001213,0.533333,0.05774,0.1,0,0.533667,0.02303,0,0
decode64,v0,true,64,0,32,0,8,0,128,0,0.0201713,1.102e-05,64.9667,0.05774,6.4,0,1,0,0.007092,0
decode64,v1,true,64,0,32,0,8,0,128,0,0.0116227,4.508e-05,112.767,0.4041,11.1667,0.05774,1.73567,0.007371,0.007092,0
decode64,v2,true,64,0,32,0,8,0,128,0,0.00832733,8.979e-05,157.433,1.656,15.6,0.2,2.42267,0.02757,0.007092,0
decode64,v3,true,64,0,32,0,8,0,128,0,0.00830933,8.46e-05,157.733,1.589,15.6333,0.1155,2.42767,0.02574,0.007092,0
decode64,v4,true,64,0,32,0,8,0,128,0,0.008186,4.257e-05,160.133,0.8622,15.9,0.1,2.46433,0.01419,0.007092,0
decode64,pytorch_eager,true,64,0,32,0,8,0,128,0,0.14728,0.002996,8.9,0.2,0.9,0,0.137,0.003,0,0
decode64,torch_compile,true,64,0,32,0,8,0,128,0,0.0725877,0.001317,18.0333,0.3512,1.8,0,0.277667,0.005033,0.007092,0
decode64,triton,true,64,0,32,0,8,0,128,0,0.0362843,0.00107,36.1333,1.069,3.6,0.1,0.556333,0.01595,0.007092,0
prefill,v0,true,2048,0,32,0,8,0,128,0,0.056856,0.0002076,737.7,2.685,73.1667,0.2517,1,0,0.006173,0
prefill,v1,true,2048,0,32,0,8,0,128,0,0.0206087,6.612e-05,2035.23,6.527,201.933,0.6351,2.759,0.003606,0.006173,0
prefill,v2,true,2048,0,32,0,8,0,128,0,0.019925,4.951e-05,2105.1,5.251,208.833,0.5508,2.85333,0.008083,0.006173,0
prefill,v3,true,2048,0,32,0,8,0,128,0,0.0141653,2.055e-05,2960.97,4.315,293.767,0.4041,4.014,0.009,0.006173,0
prefill,v4,true,2048,0,32,0,8,0,128,0,0.018194,1.058e-05,2305.33,1.343,228.7,0.1732,3.12467,0.009609,0.006173,0
prefill,pytorch_eager,true,2048,0,32,0,8,0,128,0,0.14663,0.002384,286.1,4.652,28.4,0.4583,0.388,0.00755,0,0
prefill,torch_compile,true,2048,0,32,0,8,0,128,0,0.0732857,0.0005577,572.333,4.405,56.7667,0.4726,0.775667,0.005686,0.006173,0
prefill,triton,true,2048,0,32,0,8,0,128,0,0.0358193,0.0003241,1171,10.61,116.167,1.06,1.58733,0.02021,0.006173,0
hbm,v0,true,32768,0,32,0,8,0,128,0,1.55724,0.004142,430.933,1.159,42.7333,0.1155,1,0,0.005618,0
hbm,v1,true,32768,0,32,0,8,0,128,0,0.856451,0.003118,783.6,2.862,77.7333,0.3055,1.81833,0.01069,0.005618,0
hbm,v2,true,32768,0,32,0,8,0,128,0,0.865427,0.001263,775.433,1.102,76.9667,0.1155,1.79933,0.007572,0.005618,0
hbm,v3,true,32768,0,32,0,8,0,128,0,0.756314,0.001384,887.333,1.607,88,0.1732,2.059,0.008544,0.005618,0
