Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
13.4,49723312,512,97115.8,4016.0,1791,603889,192721.4,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
9.4,34810136,256,135977.1,2624.0,1024,859690,281370.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
7.8,28783604,256,112436.0,7504.0,1727,700494,224646.7,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)3, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
7.8,28720535,248,115808.6,6336.0,1248,697710,226331.0,"v0_kernel_safe(__nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, int, int, int)"
7.5,27890061,124,224919.8,10671.5,1216,893193,377864.5,"v2_kernel(__nv_bfloat16 *, __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, int, int, int, int, long long, long long)"
7.5,27619798,248,111370.2,3567.5,1216,713550,228479.8,"v1_kernel(__nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, int, int, int)"
6.5,23904499,124,192778.2,7679.5,1504,760461,325381.8,"v3_kernel(__nv_bfloat16 *, __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, int, int, int, long long, long long)"
6.4,23619867,248,95241.4,2287.5,1088,592912,194069.9,_rope_kernel
6.4,23587542,124,190222.1,9839.5,1536,746125,318401.5,"v4_kernel(__nv_bfloat16 *, __nv_bfloat16 *, const float *, int, int, int, int, long long, long long)"
5.1,18969335,124,152978.5,7168.0,992,600497,256904.9,triton_poi_fused_add_cat_mul_neg_slice_unsqueeze_0
4.9,18238656,64,284979.0,4495.5,1087,1747250,573975.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
4.9,18139399,192,94476.0,1984.0,1248,886441,238080.4,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
