# provenance: env=4090-container sha=ccccc89 cmd="./build/softmax_bench (stability r1)" date=2026-08-24T18:03:16Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04
version,rows,cols,latency_ms,speedup_vs_v0,max_diff,correctness_pass
v0,1024,1024,0.009594,1.00,6.9849e-09,true
v1,1024,1024,0.009591,1.00,6.9849e-09,true
v2,1024,1024,0.009326,1.03,6.9849e-09,true
v3,1024,1024,0.008907,1.08,6.9849e-09,true
v4,1024,1024,0.007822,1.23,6.9849e-09,true
v4.2,1024,1024,0.010411,0.92,6.9849e-09,true
cublas,1024,1024,0.009514,1.01,6.9849e-09,true
v4_mis,1024,1500,0.010022,1.00,5.1223e-09,true
v4.3_mis,1024,1500,0.010166,0.99,5.1223e-09,true
v4.4_mis,1024,1500,0.010864,0.92,5.1223e-09,true
cublas_mis,1024,1500,0.012729,0.79,5.3551e-09,true
