# provenance: env=4090-container sha=33c6fff cmd="./build/softmax_bench (stability r3)" date=2026-08-25T21:38:51Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04
version,rows,cols,latency_ms,speedup_vs_v0,max_diff,correctness_pass
v0,1024,1024,0.009338,1.00,6.9849e-09,true
v1,1024,1024,0.009268,1.01,6.9849e-09,true
v2,1024,1024,0.009263,1.01,6.9849e-09,true
v3,1024,1024,0.008787,1.06,6.9849e-09,true
v4,1024,1024,0.007750,1.20,6.9849e-09,true
v4.2,1024,1024,0.010035,0.93,6.9849e-09,true
handwritten_ref,1024,1024,0.009414,0.99,6.9849e-09,true
cudnn,1024,1024,0.008317,1.12,6.9849e-09,true
v4_mis,1024,1500,0.009780,1.00,5.1223e-09,true
v4.3_mis,1024,1500,0.009899,0.99,5.1223e-09,true
v4.4_mis,1024,1500,0.010362,0.94,5.1223e-09,true
handwritten_ref_mis,1024,1500,0.012698,0.77,5.3551e-09,true
cudnn_mis,1024,1500,0.009002,1.09,5.1223e-09,true
