Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
18.4,96897,12,8074.8,8144.5,6176,10112,1837.1,"<unnamed>::softmax_cublas_kernel(const float *, float *, int, int)"
14.8,78082,12,6506.8,6481.0,5344,7840,1092.8,"void <unnamed>::softmax_v4_4_kernel<(int)256, (int)4>(const float *, float *, int, int)"
12.6,66434,12,5536.2,5504.0,4416,7008,1093.8,"void <unnamed>::softmax_v4_kernel<(int)256, (int)4>(const float *, float *, int, int)"
12.0,63073,12,5256.1,5344.0,4448,6080,688.8,"void cudnn::ops::softmax_fw_kernel_resident<(int)2, float, float, (int)256, (int)1, (int)0, (int)0, (int)32, (int)0>(cudnnTensorStruct, const float *, cudnnTensorStruct, float *, int, T3, T3, int, int)"
7.9,41729,6,6954.8,6944.5,6816,7136,110.2,"void <unnamed>::softmax_v4_2_kernel<(int)256, (int)2>(const float *, float *, int, int)"
7.6,40000,6,6666.7,6656.0,6592,6784,66.1,"void <unnamed>::softmax_v4_3_kernel<(int)256, (int)4>(const float *, float *, int, int)"
7.0,36672,6,6112.0,6000.0,5888,6656,289.1,"void <unnamed>::softmax_v0_kernel<(int)256>(const float *, float *, int, int)"
6.8,35713,6,5952.2,5952.5,5888,6016,45.3,"void <unnamed>::softmax_v1_kernel<(int)256>(const float *, float *, int, int)"
6.6,34784,6,5797.3,5792.0,5696,5888,68.4,"void <unnamed>::softmax_v2_kernel<(int)256>(const float *, float *, int, int)"
6.2,32481,6,5413.5,5376.5,5344,5600,93.6,"void <unnamed>::softmax_v3_kernel<(int)256, (int)4>(const float *, float *, int, int)"

