# derived: n_rounds=3 date=2026-08-26T09:23:23Z
# source: 20260826T092254_w8a8_stability_r1.csv :: env=venv:/root/venvs/main sha=8f04d6b cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T09:22:56Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
# source: 20260826T092304_w8a8_stability_r2.csv :: env=venv:/root/venvs/main sha=8f04d6b cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T09:23:05Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
# source: 20260826T092313_w8a8_stability_r3.csv :: env=venv:/root/venvs/main sha=8f04d6b cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T09:23:15Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
shape,arm,correctness_pass,T_mean,T_std,H_mean,H_std,O_mean,O_std,latency_ms_mean,latency_ms_std,tflops_or_tops_mean,tflops_or_tops_std,speedup_vs_bf16_mean,speedup_vs_bf16_std,max_rel_err_mean,max_rel_err_std
T512_O4096,bf16_cublas,true,512,0,4096,0,4096,0,0.109313,0.00017,157.133,0.2309,1,0,0,0
T512_O4096,w8a8_v0(quant_v0+dequant_v0),true,512,0,4096,0,4096,0,0.070847,0.002509,242.7,8.404,1.54433,0.05225,0.01055,0
T512_O4096,w8a8_best(quant_v2+dequant_v1),true,512,0,4096,0,4096,0,0.0573817,0.0001227,299.367,0.6429,1.905,0.001,0.01055,0
T512_O4096,w8a8_best_weight_rowmajor,true,512,0,4096,0,4096,0,0.140076,0.0002498,122.667,0.2082,0.780333,0.0005774,0.01055,0
T512_O4096,step_quant_v2,,512,0,4096,0,4096,0,0.00644433,6.543e-05,2666,27.1,16.9637,0.1882,nan,nan
T512_O4096,step_int8gemm_col,,512,0,4096,0,4096,0,0.0485343,6.658e-05,353.967,0.5033,2.252,0.001732,nan,nan
T512_O4096,step_int8gemm_row,,512,0,4096,0,4096,0,0.129113,0.0002062,133.067,0.2082,0.846667,0.0005774,nan,nan
T512_O4096,step_dequant_v1,,512,0,4096,0,4096,0,0.006777,7.79e-05,2535.2,29.36,16.131,0.2064,nan,nan
T512_O12288,bf16_cublas,true,512,0,4096,0,12288,0,0.339094,0.001375,152,0.6083,1,0,0,0
T512_O12288,w8a8_v0(quant_v0+dequant_v0),true,512,0,4096,0,12288,0,0.189889,0.0007502,271.433,1.041,1.78567,0.01102,0.01055,0
