# derived: n_rounds=3 date=2026-08-29T03:41:04Z
# source: 20260829T0341_w8a8_vec-after_r1.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:39:14Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# source: 20260829T0341_w8a8_vec-after_r2.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:39:22Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# source: 20260829T0341_w8a8_vec-after_r3.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:39:30Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
shape,arm,correctness_pass,T_mean,T_std,H_mean,H_std,O_mean,O_std,latency_ms_mean,latency_ms_std,tflops_or_tops_mean,tflops_or_tops_std,speedup_vs_bf16_mean,speedup_vs_bf16_std,max_rel_err_mean,max_rel_err_std
T512_O4096,bf16_cublas,true,512,0,4096,0,4096,0,0.109527,7.749e-05,156.867,0.1155,1,0,0,0
T512_O4096,w8a8_v0(quant_v0+dequant_v0),true,512,0,4096,0,4096,0,0.0695057,2.93e-05,247.2,0.1,1.57567,0.0005774,0.01055,0
T512_O4096,w8a8_best(quant_v2+dequant_v1),true,512,0,4096,0,4096,0,0.0571593,0.0001211,300.567,0.6429,1.91633,0.005132,0.01055,0
T512_O4096,w8a8_best_weight_rowmajor,true,512,0,4096,0,4096,0,0.139941,0.0003165,122.8,0.2646,0.783,0.002,0.01055,0
T512_O4096,step_quant_v2,,512,0,4096,0,4096,0,0.00747367,0.0001418,2299.33,43.96,14.659,0.2853,nan,nan
T512_O4096,step_int8gemm_col,,512,0,4096,0,4096,0,0.048413,5.257e-05,354.867,0.3786,2.26267,0.003786,nan,nan
T512_O4096,step_int8gemm_row,,512,0,4096,0,4096,0,0.129816,0.0002338,132.333,0.2309,0.843667,0.001155,nan,nan
T512_O4096,step_dequant_v1,,512,0,4096,0,4096,0,0.00756567,2.811e-05,2270.8,8.434,14.477,0.04504,nan,nan
T512_O12288,bf16_cublas,true,512,0,4096,0,12288,0,0.341887,0.0008563,150.733,0.3786,1,0,0,0
T512_O12288,w8a8_v0(quant_v0+dequant_v0),true,512,0,4096,0,12288,0,0.19037,0.0009433,270.733,1.332,1.796,0.01277,0.01055,0
