# derived: n_rounds=3 date=2026-08-29T03:41:04Z
# source: 20260829T0341_w8a8_vec-before_r1.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:36:26Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# source: 20260829T0341_w8a8_vec-before_r2.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:36:34Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# source: 20260829T0341_w8a8_vec-before_r3.csv :: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:36:42Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
shape,arm,correctness_pass,T_mean,T_std,H_mean,H_std,O_mean,O_std,latency_ms_mean,latency_ms_std,tflops_or_tops_mean,tflops_or_tops_std,speedup_vs_bf16_mean,speedup_vs_bf16_std,max_rel_err_mean,max_rel_err_std
T512_O4096,bf16_cublas,true,512,0,4096,0,4096,0,0.109558,8.03e-05,156.8,0.1,1,0,0,0
T512_O4096,w8a8_v0(quant_v0+dequant_v0),true,512,0,4096,0,4096,0,0.0694393,0.0001242,247.433,0.4163,1.57767,0.004041,0.01055,0
T512_O4096,w8a8_best(quant_v2+dequant_v1),true,512,0,4096,0,4096,0,0.0573287,3.614e-05,299.7,0.1732,1.911,0.001,0.01055,0
T512_O4096,w8a8_best_weight_rowmajor,true,512,0,4096,0,4096,0,0.140264,7.795e-05,122.5,0.1,0.781,0,0.01055,0
T512_O4096,step_quant_v2,,512,0,4096,0,4096,0,0.00755367,0.000145,2274.97,43.22,14.5073,0.2714,nan,nan
T512_O4096,step_int8gemm_col,,512,0,4096,0,4096,0,0.0484487,4.366e-05,354.633,0.3215,2.26167,0.0005774,nan,nan
T512_O4096,step_int8gemm_row,,512,0,4096,0,4096,0,0.129608,8.41e-05,132.567,0.1155,0.845,0,nan,nan
T512_O4096,step_dequant_v1,,512,0,4096,0,4096,0,0.007668,5.73e-05,2240.5,16.79,14.288,0.1041,nan,nan
T512_O12288,bf16_cublas,true,512,0,4096,0,12288,0,0.341813,0.001662,150.8,0.7,1,0,0,0
T512_O12288,w8a8_v0(quant_v0+dequant_v0),true,512,0,4096,0,12288,0,0.189664,0.0008084,271.733,1.124,1.80233,0.01387,0.01055,0
