Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
45.3,527591463,248,2127384.9,935464.5,126877,7151500,2583705.4,"void cutlass1x::gemm::gemm_kernel_nolb<cutlass1x::gemm::Gemm<cutlass1x::gemm::IgemmTraits<(cutlass1x::MatrixLayout::Kind)1, (cutlass1x::MatrixLayout::Kind)1, cutlass1x::Shape<(int)32, (int)64, (int)64, (int)1>, int, cutlass1x::gemm::LinearScalingDevicePtr<int, cutlass1x::gemm::FragmentMultiplyAdd<int, int, (bool)1>>, cutlass1x::Shape<(int)32, (int)8, (int)8, (int)1>, int, cutlass1x::gemm::IgemmTraitsHelper<(cutlass1x::MatrixLayout::Kind)1, (cutlass1x::MatrixLayout::Kind)1, cutlass1x::Shape<(int)32, (int)64, (int)64, (int)1>, int, cutlass1x::gemm::LinearScalingDevicePtr<int, cutlass1x::gemm::FragmentMultiplyAdd<int, int, (bool)1>>, cutlass1x::Shape<(int)32, (int)8, (int)8, (int)1>, int>>>>(T1::Params)"
17.3,201395569,186,1082771.9,1071285.0,438549,1864369,636791.0,void cutlass::Kernel2<cutlass_80_tensorop_i16832gemm_s8_256x128_64x3_tn_align16>(T1::Params)
14.3,166018638,32,5188082.4,5098800.0,5095392,5668849,192580.2,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_tn
6.5,75480386,372,202904.3,89902.0,4288,654159,260823.0,"dequant_v1_kernel(__nv_bfloat16 *, const int *, const float *, const float *, int)"
3.6,41392304,32,1293509.5,1292079.5,1288608,1311071,4656.1,ampere_bf16_s1688gemm_bf16_64x128_sliced1x2_ldg8_f2f_tn
2.3,26816979,124,216266.0,88062.0,5888,688463,277404.9,"dequant_v0_kernel(__nv_bfloat16 *, const int *, const float *, const float *, int, int)"
1.6,18456300,186,99227.4,97741.5,47615,159580,49778.2,void cutlass::Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align16>(T1::Params)
1.1,12940316,375,34507.5,9024.0,1952,111037,42744.8,"v2_kernel(signed char *, float *, const __nv_bfloat16 *, int)"
1.1,12460425,64,194694.1,197275.5,106750,288729,87965.4,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
0.9,10759664,32,336239.5,335272.0,332568,347511,3121.5,ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f_tn
0.8,8855744,89,99502.7,2400.0,1152,835979,204125.5,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.7,7715014,124,62217.9,28863.0,8543,180988,68867.9,"v0_absmax_kernel(float *, const __nv_bfloat16 *, int)"
0.6,6722904,25,268916.2,7680.0,992,1309503,477590.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.4,4999523,93,53758.3,13023.0,5471,143132,63324.1,"void gemv_v1_kernel<(int)8>(__nv_bfloat16 *, const signed char *, const signed char *, const float *, const float *, int, int)"
0.4,4995015,93,53709.8,12031.0,4768,157532,63696.2,"void gemv_v0_kernel<(int)8>(__nv_bfloat16 *, const signed char *, const signed char *, const float *, const float *, int, int)"
0.4,4458349,25,178334.0,5728.0,928,874282,318321.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.4,4312380,124,34777.3,12079.5,5119,111581,43942.0,"v0_quant_kernel(signed char *, const __nv_bfloat16 *, const float *, int)"
0.3,3628037,32,113376.2,18975.0,896,580433,165148.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<c10::BFloat16>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.3,3493767,32,109180.2,108541.0,108221,119773,2205.6,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
0.3,3247663,39,83273.4,1216.0,1024,1165987,223492.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.3,3212369,7,458909.9,437941.0,145821,1166339,340941.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::round_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.3,3200463,7,457209.0,436117.0,145660,1160579,338953.2,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.2,2519328,25,100773.1,5856.0,2336,481011,174776.3,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float>>, unsigned int, float, (int)4, (int)4>>(T3)"
0.2,2218506,4,554626.5,656192.0,219099,687023,224156.9,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(signed char) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.2,2143754,7,306250.6,303832.0,87357,751213,221057.8,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(signed char) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.2,2043083,32,63846.3,8128.0,2496,342487,101348.5,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::func_wrapper_t<c10::BFloat16, at::native::MaxNanFunctor<c10::BFloat16>>, unsigned int, c10::BFloat16, (int)4, (int)4>>(T3)"
0.1,1398940,7,199848.6,193275.0,20607,581138,186724.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,1222882,32,38215.1,38095.0,37407,42431,895.9,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
0.1,964359,14,68882.8,39951.0,1312,289401,80128.2,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<c10::BFloat16, float, float4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)"
0.0,35070,25,1402.8,1376.0,1056,2016,275.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,7552,7,1078.9,1088.0,960,1216,99.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"

